,name,mana_cost,cmc,oracle_text,prices,set,rarity
87,"Tamiyo, Compleated Sage",{2}{G}{G/U/P}{U},5.0,"Compleated ({G/U/P} can be paid with {G}  {U}  or 2 life. If life was paid  this planeswalker enters with two fewer loyalty counters.) +1: Tap up to one target artifact or creature. It doesn't untap during its controller's next untap step. −X: Exile target nonland permanent card with mana value X from your graveyard. Create a token that's a copy of that card. −7: Create Tamiyo's Notebook  a legendary colorless artifact token with ""Spells you cast cost {2} less to cast"" and ""{T}: Draw a card.""",1.49,neo,3
88,Spidery Grasp,{2}{G},3.0,Untap target creature. It gets +2/+4 and gains reach until end of turn. (It can block creatures with flying.),0.1,gn2,0
89,New Blood,{2}{B}{B},4.0,As an additional cost to cast this spell  tap an untapped Vampire you control. Gain control of target creature. Change the text of that creature by replacing all instances of one creature type with Vampire.,10.42,c17,2
90,Drag Under,{2}{U},3.0,Return target creature to its owner's hand. Draw a card.,0.13,w17,0
91,Saltcrusted Steppe,_,0.0,{T}: Add {C}. {1}  {T}: Put a storage counter on This Card. {1}  Remove X storage counters from This Card: Add X mana in any combination of {G} and/or {W}.,0.1,tsr,1
92,Tainted Isle,_,0.0,{T}: Add {C}. {T}: Add {U} or {B}. Activate only if you control a Swamp.,0.56,clb,1
93,Recantation,{3}{U}{U},5.0,At the beginning of your upkeep  you may put a verse counter on This Card. {U}  Sacrifice This Card: Return up to X target permanents to their owners' hands  where X is the number of verse counters on This Card.,0.28,usg,2
94,Prismatic Circle,{2}{W},3.0,Cumulative upkeep {1} (At the beginning of your upkeep  put an age counter on this permanent  then sacrifice it unless you pay its upkeep cost for each age counter on it.) As This Card enters the battlefield  choose a color. {1}: The next time a source of your choice of the chosen color would deal damage to you this turn  prevent that damage.,0.09,mir,0
95,Supreme Verdict,{1}{W}{W}{U},4.0,This spell can't be countered. Destroy all creatures.,3.15,2x2,2
96,Search the Premises,{3}{W},4.0,"Whenever a creature attacks you or a planeswalker you control  investigate. (Create a Clue token. It's an artifact with ""{2}  Sacrifice this artifact: Draw a card."")",0.13,mh2,2
97,Astarion's Thirst,{3}{B},4.0,Exile target creature. Put X +1/+1 counters on a commander creature you control  where X is the power of the creature exiled this way.,0.23,clb,2
98,Flood of Recollection,{U}{U},2.0,Return target instant or sorcery card from your graveyard to your hand. Exile This Card.,0.03,cmr,0
99,Unnerving Assault,{2}{U/R},3.0,Creatures your opponents control get -1/-0 until end of turn if {U} was spent to cast this spell  and creatures you control get +1/+0 until end of turn if {R} was spent to cast this spell. (Do both if {U}{R} was spent.),0.1,eve,1
100,Titania,_,0.0,You may play an additional land on each of your turns.,399.97,pvan,2
101,Moss Diamond,{2},2.0,This Card enters the battlefield tapped. {T}: Add {G}.,0.09,clb,0
102,Armed Response,{2}{W},3.0,This Card deals damage to target attacking creature equal to the number of Equipment you control.,0.09,5dn,0
103,Ensoul Artifact,{1}{U},2.0,Enchant artifact Enchanted artifact is a creature with base power and toughness 5/5 in addition to its other types.,0.37,m15,1
104,Skred,{R},1.0,This Card deals damage to target creature equal to the number of snow permanents you control.,1.02,csp,0
105,Blighted Woodland,_,0.0,{T}: Add {C}. {3}{G}  {T}  Sacrifice This Card: Search your library for up to two basic land cards  put them onto the battlefield tapped  then shuffle.,0.21,clb,1
106,Mirrorweave,{2}{W/U}{W/U},4.0,Each other creature becomes a copy of target nonlegendary creature until end of turn.,0.75,cm2,2
107,Fiery Islet,_,0.0,{T}  Pay 1 life: Add {U} or {R}. {1}  {T}  Sacrifice This Card: Draw a card.,9.03,mh1,2
108,Game Plan,{5}{U},6.0,Assist (Another player can pay up to {5} of this spell's cost.) Each player shuffles their hand and graveyard into their library  then draws seven cards. Exile This Card.,1.73,bbd,2
109,Glacial Fortress,_,0.0,This Card enters the battlefield tapped unless you control a Plains or an Island. {T}: Add {W} or {U}.,3.22,xln,2
110,Ivory Mask,{2}{W}{W},4.0,You have shroud. (You can't be the target of spells or abilities.),0.71,9ed,2
111,Chain of Plasma,{1}{R},2.0,This Card deals 3 damage to any target. Then that player or that permanent's controller may discard a card. If the player does  they may copy this spell and may choose a new target for that copy.,0.19,ons,1
112,Coils of the Medusa,{1}{B},2.0,Enchant creature Enchanted creature gets +1/-1. Sacrifice This Card: Destroy all non-Wall creatures blocking enchanted creature.,0.13,wth,0
113,World at War,{3}{R}{R},5.0,After the first postcombat main phase this turn  there's an additional combat phase followed by an additional main phase. At the beginning of that combat  untap all creatures that attacked this turn. Rebound (If you cast this spell from your hand  exile it as it resolves. At the beginning of your next upkeep  you may cast this card from exile without paying its mana cost.),10.49,roe,2
114,Strength of Lunacy,{1}{B},2.0,Enchant creature Enchanted creature gets +2/+1 and has protection from white. Madness {B} (If you discard this card  discard it into exile. When you do  cast it for its madness cost or put it into your graveyard.),0.53,tor,1
115,Funeral Pyre,{W},1.0,Exile target card from a graveyard. Its owner creates a 1/1 white Spirit creature token with flying.,0.11,jud,0
116,Strategic Planning,{1}{U},2.0,Look at the top three cards of your library. Put one of them into your hand and the rest into your graveyard.,0.02,khm,0
117,Koth of the Hammer Emblem,_,0.0,Mountains you control have '{T}: This land deals 1 damage to any target.',1.94,tddi,0
118,Remembrance,{3}{W},4.0,Whenever a nontoken creature you control dies  you may search your library for a card with the same name as that creature  reveal it  put it into your hand  then shuffle.,5.65,usg,2
119,Ghostly Touch,{1}{U},2.0,"Enchant creature Enchanted creature has ""Whenever this creature attacks  you may tap or untap target permanent.""",0.09,avr,1
120,Glimpse of Freedom,{1}{U},2.0,Draw a card. Escape—{2}{U}  Exile five other cards from your graveyard. (You may cast this card from your graveyard for its escape cost.),0.03,thb,1
121,Mizzium Skin,{U},1.0,"Target creature you control gets +0/+1 and gains hexproof until end of turn. Overload {1}{U} (You may cast this spell for its overload cost. If you do  change its text by replacing all instances of ""target"" with ""each."")",0.15,rtr,0
122,Benefaction of Rhonas,{2}{G},3.0,Reveal the top five cards of your library. You may put a creature card and/or an enchantment card from among them into your hand. Put the rest into your graveyard.,0.04,akh,0
123,Scorching Missile,{3}{R},4.0,This Card deals 4 damage to target player or planeswalker. Flashback {9}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.),0.12,ody,0
124,Obelisk of Naya,{3},3.0,{T}: Add {R}  {G}  or {W}.,0.17,ala,0
125,Spine of Ish Sah,{7},7.0,When This Card enters the battlefield  destroy target permanent. When This Card is put into a graveyard from the battlefield  return This Card to its owner's hand.,0.8,cm2,2
126,Ancient Den,_,0.0,{T}: Add {W}.,0.97,c21,0
127,Research the Deep,{1}{U},2.0,Draw a card. Clash with an opponent. If you win  return This Card to its owner's hand. (Each clashing player reveals the top card of their library  then puts that card on the top or bottom. A player wins if their card had a higher mana value.),0.19,mor,1
128,Zephyr Boots,{1},1.0,Equipped creature has flying. Whenever equipped creature deals combat damage to a player  draw a card  then discard a card. Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.),0.16,stx,1
129,Thunderclap,{2}{R},3.0,You may sacrifice a Mountain rather than pay this spell's mana cost. This Card deals 3 damage to target creature.,0.23,mmq,0
130,Search for Survivors,{2}{R},3.0,Reorder your graveyard at random. An opponent chooses a card at random in your graveyard. If it's a creature card  put it onto the battlefield. Otherwise  exile it.,0.28,pcy,2
131,Raze,{R},1.0,As an additional cost to cast this spell  sacrifice a land. Destroy target land.,0.22,usg,0
132,Gideon's Intervention,{2}{W}{W},4.0,As This Card enters the battlefield  choose a card name. Your opponents can't cast spells with the chosen name. Prevent all damage that would be dealt to you and permanents you control by sources with the chosen name.,0.18,akh,2
133,Boggart Birth Rite,{B},1.0,Return target Goblin card from your graveyard to your hand.,0.14,lrw,0
134,Storage Matrix,{3},3.0,As long as This Card is untapped  each player chooses artifact  creature  or land during their untap step. That player can untap only permanents of the chosen type this step.,3.57,9ed,2
135,Commanding Presence,{3}{W},4.0,"Enchant creature Enchanted creature gets +2/+2 and has first strike and ""Whenever this creature deals combat damage to a player  create a 1/1 white Human Soldier creature token.""",0.06,thb,1
136,Sangrite Backlash,{B/G}{R},2.0,Enchant creature Enchanted creature gets +3/-3.,0.04,arb,0
137,Massive Raid,{1}{R}{R},3.0,This Card deals damage to any target equal to the number of creatures you control.,0.2,gtc,0
138,Rending Volley,{R},1.0,This spell can't be countered. This Card deals 4 damage to target white or blue creature.,3.16,dtk,1
139,Prismatic Vista,_,0.0,{T}  Pay 1 life  Sacrifice This Card: Search your library for a basic land card  put it onto the battlefield  then shuffle.,24.15,mh1,2
140,Kazandu Refuge,_,0.0,This Card enters the battlefield tapped. When This Card enters the battlefield  you gain 1 life. {T}: Add {R} or {G}.,0.17,c19,1
141,Locked in the Cemetery,{1}{U},2.0,Enchant creature When This Card enters the battlefield  if there are five or more cards in your graveyard  tap enchanted creature. Enchanted creature doesn't untap during its controller's untap step.,0.02,mid,0
142,Faithless Salvaging,{1}{R},2.0,Discard a card  then draw a card. Rebound (If you cast this spell from your hand  exile it as it resolves. At the beginning of your next upkeep  you may cast this card from exile without paying its mana cost.),0.03,mh2,0
143,Oketra's Monument,{3},3.0,White creature spells you cast cost {1} less to cast. Whenever you cast a creature spell  create a 1/1 white Warrior creature token with vigilance.,1.48,dmc,1
144,Moonring Mirror,{5},5.0,Whenever you draw a card  exile the top card of your library face down. At the beginning of your upkeep  you may exile all cards from your hand face down. If you do  put all other cards you own exiled with This Card into your hand.,0.31,chk,2
145,Combo Attack,{2}{G},3.0,Two target creatures your team controls each deal damage equal to their power to target creature.,0.05,bbd,0
147,Reaver Ambush,{2}{B},3.0,Exile target creature with power 3 or less.,0.05,rix,1
148,Black Sun's Zenith,{X}{B}{B},2.0,Put X -1/-1 counters on each creature. Shuffle This Card into its owner's library.,5.28,c14,2
149,Inundate,{3}{U}{U}{U},6.0,Return all nonblue creatures to their owners' hands.,6.22,eve,2
150,Polymorph,{3}{U},4.0,Destroy target creature. It can't be regenerated. Its controller reveals cards from the top of their library until they reveal a creature card. The player puts that card onto the battlefield  then shuffles all other cards revealed this way into their library.,1.63,m10,2
151,Disappear,{2}{U}{U},4.0,Enchant creature {U}: Return enchanted creature and This Card to their owners' hands.,0.14,uds,1
152,Unwilling Recruit,{X}{R}{R}{R},3.0,Gain control of target creature until end of turn. Untap that creature. It gets +X/+0 and gains haste until end of turn.,0.19,eve,1
153,Terisiare's Devastation,{X}{2}{B}{B},4.0,"You lose X life and create X tapped Powerstone tokens. Then all creatures get -1/-1 until end of turn for each artifact you control. (The tokens are artifacts with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")",0.76,brc,2
154,Baffling End,{1}{W},2.0,When This Card enters the battlefield  exile target creature an opponent controls with mana value 3 or less. When This Card leaves the battlefield  target opponent creates a 3/3 green Dinosaur creature token with trample.,0.08,rix,1
155,Bonds of Quicksilver,{3}{U},4.0,Flash (You may cast this spell any time you could cast an instant.) Enchant creature Enchanted creature doesn't untap during its controller's untap step.,0.06,cn2,0
156,Freed from the Real,{2}{U},3.0,Enchant creature {U}: Tap enchanted creature. {U}: Untap enchanted creature.,2.77,a25,1
157,Hero's Downfall,{1}{B}{B},3.0,Destroy target creature or planeswalker.,0.15,dmc,1
158,Statute of Denial,{2}{U}{U},4.0,Counter target spell. If you control a blue creature  draw a card  then discard a card.,0.08,m15,0
159,Tourach's Gate,{1}{B}{B},3.0,Enchant land you control Sacrifice a Thrull: Put three time counters on This Card. At the beginning of your upkeep  remove a time counter from This Card. If there are no time counters on This Card  sacrifice it. Tap enchanted land: Attacking creatures you control get +2/-1 until end of turn. Activate only if enchanted land is untapped.,1.21,fem,2
160,Rune of Sustenance,{1}{W},2.0,"Enchant permanent When This Card enters the battlefield  draw a card. As long as enchanted permanent is a creature  it has lifelink. As long as enchanted permanent is an Equipment  it has ""Equipped creature has lifelink.""",0.18,khm,1
161,Mesmeric Orb,{2},2.0,Whenever a permanent becomes untapped  that permanent's controller mills a card.,9.91,2xm,2
162,Autumn's Veil,{G},1.0,Spells you control can't be countered by blue or black spells this turn  and creatures you control can't be the targets of blue or black spells this turn.,0.45,m12,1
163,Meteor Storm,{R}{G},2.0,{2}{R}{G}  Discard two cards at random: This Card deals 4 damage to any target.,0.22,inv,2
164,Rage Reflection,{4}{R}{R},6.0,Creatures you control have double strike.,0.76,2xm,2
165,Consuming Sinkhole,{3}{R},4.0,Devoid (This card has no color.) Choose one — • Exile target land creature. • This Card deals 4 damage to target player or planeswalker.,0.02,ogw,0
166,"Miren, the Moaning Well",_,0.0,{T}: Add {C}. {3}  {T}  Sacrifice a creature: You gain life equal to the sacrificed creature's toughness.,21.58,sok,2
167,Rootborn Defenses,{2}{W},3.0,Populate. Creatures you control gain indestructible until end of turn. (To populate  create a token that's a copy of a creature token you control.),0.34,c19,0
168,My Undead Horde Awakens,_,0.0,(An ongoing scheme remains face up until it's abandoned.) At the beginning of your end step  you may put target creature card from an opponent's graveyard onto the battlefield under your control. When a creature put onto the battlefield with this scheme dies  abandon this scheme.,12.73,oarc,0
169,Gravitational Shift,{3}{U}{U},5.0,Creatures with flying get +2/+0. Creatures without flying get -2/-0.,3.45,roe,2
170,Executioner's Hood,{2},2.0,Equipped creature has intimidate. (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.) Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.),0.12,dka,0
171,Rain of Embers,{1}{R},2.0,This Card deals 1 damage to each creature and each player.,0.11,rav,0
