,name,mana_cost,cmc,oracle_text,power,toughness,prices,set,rarity
28,"Tinybones, Trinket Thief",{1}{B},2.0,At the beginning of each end step  if an opponent discarded a card this turn  you draw a card and you lose 1 life. {4}{B}{B}: Each opponent with no cards in hand loses 10 life.,1.0,2.0,11.65,jmp,3
29,Courageous Outrider,{3}{W},4.0,When This Card enters the battlefield  look at the top four cards of your library. You may reveal a Human card from among them and put it into your hand. Put the rest on the bottom of your library in any order.,3.0,4.0,0.06,emn,1
30,Soul-Scar Mage,{R},1.0,Prowess If a source you control would deal noncombat damage to a creature an opponent controls  put that many -1/-1 counters on that creature instead.,1.0,2.0,1.56,akh,2
31,Airdrop Aeronauts,{3}{W}{W},5.0,Flying Revolt — When This Card enters the battlefield  if a permanent you controlled left the battlefield this turn  you gain 5 life.,4.0,3.0,0.07,aer,1
32,Scaled Wurm,{7}{G},8.0,_,7.0,6.0,0.06,cns,0
33,"Yorvo, Lord of Garenbrig",{G}{G}{G},3.0,This Card enters the battlefield with four +1/+1 counters on it. Whenever another green creature enters the battlefield under your control  put a +1/+1 counter on Yorvo. Then if that creature's power is greater than Yorvo's power  put another +1/+1 counter on Yorvo.,0.0,0.0,0.24,eld,2
34,Squadron Hawk,{1}{W},2.0,Flying When This Card enters the battlefield  you may search your library for up to three cards named This Card  reveal them  put them into your hand  then shuffle.,1.0,1.0,0.21,a25,0
35,Boros Recruit,{R/W},1.0,({R/W} can be paid with either {R} or {W}.) First strike,1.0,1.0,0.22,rav,0
36,Patchwork Gnomes,{3},3.0,Discard a card: Regenerate This Card. (The next time this creature would be destroyed  instead tap it  remove it from combat  and heal all damage on it.),2.0,1.0,0.01,mh2,1
37,Ogre Arsonist,{4}{R},5.0,When This Card enters the battlefield  destroy target land.,3.0,3.0,0.42,p02,1
38,Crypt Creeper,{1}{B},2.0,Sacrifice This Card: Exile target card from a graveyard.,2.0,1.0,0.02,avr,0
39,Devoted Paladin,{4}{W},5.0,Beacon of Hope — When This Card enters the battlefield  creatures you control get +1/+1 and gain vigilance until end of turn.,4.0,4.0,0.01,afr,0
40,Unyielding Krumar,{3}{B},4.0,{1}{W}: This Card gains first strike until end of turn.,3.0,3.0,0.03,ktk,0
41,Solemn Simulacrum,{4},4.0,When This Card enters the battlefield  you may search your library for a basic land card  put that card onto the battlefield tapped  then shuffle. When This Card dies  you may draw a card.,2.0,2.0,0.75,dmc,2
42,Half-Elf Monk,{3}{W},4.0,Vigilance Stunning Strike — {1}{W}  {T}: Tap target creature.,1.0,4.0,0.01,afr,0
43,Guul Draz Vampire,{B},1.0,As long as an opponent has 10 or less life  This Card gets +2/+1 and has intimidate. (It can't be blocked except by artifact creatures and/or creatures that share a color with it.),1.0,1.0,0.16,zen,0
44,Puppeteer Clique,{3}{B}{B},5.0,Flying When This Card enters the battlefield  put target creature card from an opponent's graveyard onto the battlefield under your control. It gains haste. At the beginning of your next end step  exile it. Persist (When this creature dies  if it had no -1/-1 counters on it  return it to the battlefield under its owner's control with a -1/-1 counter on it.),3.0,2.0,0.12,clb,2
45,Dazzling Sphinx,{3}{U}{U},5.0,Flying Whenever This Card deals combat damage to a player  that player exiles cards from the top of their library until they exile an instant or sorcery card. You may cast that card without paying its mana cost. Then that player puts the exiled cards that weren't cast this way on the bottom of their library in a random order.,4.0,5.0,0.43,c21,2
46,Tanglewalker,{2}{G},3.0,Each creature you control can't be blocked as long as defending player controls an artifact land.,2.0,2.0,0.16,dst,1
47,Dakmor Lancer,{4}{B}{B},6.0,When This Card enters the battlefield  destroy target nonblack creature.,3.0,3.0,0.17,7ed,1
48,Bladed Sentinel,{4},4.0,{W}: This Card gains vigilance until end of turn.,2.0,4.0,0.04,mbs,0
49,Shadowcloak Vampire,{4}{B},5.0,Pay 2 life: This Card gains flying until end of turn. (It can't be blocked except by creatures with flying or reach.),4.0,3.0,0.03,m15,0
50,Darkling Stalker,{3}{B},4.0,{B}: Regenerate This Card. {B}: This Card gets +1/+1 until end of turn.,1.0,1.0,0.17,tmp,0
51,Planebound Accomplice,{2}{R},3.0,{R}: You may put a planeswalker card from your hand onto the battlefield. Sacrifice it at the beginning of the next end step.,1.0,3.0,0.29,mh1,2
52,Welkin Tern,{1}{U},2.0,Flying (This creature can't be blocked except by creatures with flying or reach.) This Card can block only creatures with flying.,2.0,1.0,0.07,gs1,0
53,Shrewd Hatchling,{3}{U/R},4.0,This Card enters the battlefield with four -1/-1 counters on it. {U/R}: Target creature can't block This Card this turn. Whenever you cast a blue spell  remove a -1/-1 counter from This Card. Whenever you cast a red spell  remove a -1/-1 counter from This Card.,6.0,6.0,0.06,mm2,1
54,"Higure, the Still Wind",{3}{U}{U},5.0,Ninjutsu {2}{U}{U} ({2}{U}{U}  Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.) Whenever This Card deals combat damage to a player  you may search your library for a Ninja card  reveal it  put it into your hand  then shuffle. {2}: Target Ninja creature can't be blocked this turn.,3.0,4.0,14.49,pca,2
55,Soul of the Rapids,{3}{U}{U},5.0,Flying Hexproof (This creature can't be the target of spells or abilities your opponents control.),3.0,2.0,0.02,rix,0
56,Arc Mage,{2}{R},3.0,{2}{R}  {T}  Discard a card: This Card deals 2 damage divided as you choose among one or two targets.,2.0,2.0,0.15,nem,1
57,Dirtwater Wraith,{3}{B},4.0,Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.) {B}: This Card gets +1/+0 until end of turn.,1.0,3.0,0.12,mir,0
58,"Greasefang, Okiba Boss",{1}{W}{B},3.0,At the beginning of combat on your turn  return target Vehicle card from your graveyard to the battlefield. It gains haste. Return it to its owner's hand at the beginning of your next end step.,4.0,3.0,0.51,neo,2
59,Puresight Merrow,{W/U}{W/U},2.0,{W/U}  {Q}: Look at the top card of your library. You may exile that card. ({Q} is the untap symbol.),2.0,2.0,0.2,shm,1
60,Starnheim Courser,{2}{W},3.0,Flying Artifact and enchantment spells you cast cost {1} less to cast.,2.0,2.0,0.13,khm,0
61,Maraleaf Pixie,{G}{U},2.0,Flying {T}: Add {G} or {U}.,2.0,2.0,0.14,eld,1
62,Tyranid Harridan,{4}{G}{U},6.0,Flying  ward {4} Shrieking Gargoyles — Whenever This Card or another Tyranid you control deals combat damage to a player  create a 1/1 blue Tyranid Gargoyle creature token with flying.,4.0,4.0,0.15,40k,2
63,Akroan Line Breaker,{2}{R},3.0,Heroic — Whenever you cast a spell that targets This Card  This Card gets +2/+0 and gains intimidate until end of turn. (It can't be blocked except by artifact creatures and/or creatures that share a color with it.),2.0,1.0,0.06,jou,1
64,Dawnbringer Cleric,{1}{W},2.0,When This Card enters the battlefield  choose one — • Cure Wounds — You gain 2 life. • Dispel Magic — Destroy target enchantment. • Gentle Repose — Exile target card from a graveyard.,1.0,3.0,0.05,clb,0
65,Pheres-Band Brawler,{4}{G}{G},6.0,When This Card enters the battlefield  it fights up to one target creature you don't control. (Each deals damage equal to its power to the other.),4.0,4.0,0.04,thb,1
66,Goblin Flotilla,{2}{R},3.0,Islandwalk (This creature can't be blocked as long as defending player controls an Island.) At the beginning of each combat  unless you pay {R}  whenever This Card blocks or becomes blocked by a creature this combat  that creature gains first strike until end of turn.,2.0,2.0,1.48,fem,2
67,Oreskos Swiftclaw,{1}{W},2.0,_,3.0,1.0,0.02,m19,0
68,Inquisitive Puppet,{1},1.0,When This Card enters the battlefield  scry 1. Exile This Card: Create a 1/1 white Human creature token.,0.0,2.0,0.06,eld,1
69,Aven Squire,{1}{W},2.0,Flying Exalted (Whenever a creature you control attacks alone  that creature gets +1/+1 until end of turn.),1.0,1.0,0.11,m13,0
70,Stone Kavu,{4}{G},5.0,{R}: This Card gets +1/+0 until end of turn. {W}: This Card gets +0/+1 until end of turn.,3.0,3.0,0.1,pls,0
71,Brawl-Bash Ogre,{2}{B}{R},4.0,Menace (This creature can't be blocked except by two or more creatures.) Whenever This Card attacks  you may sacrifice another creature. If you do  This Card gets +2/+2 until end of turn.,3.0,3.0,0.02,m19,1
72,Icebreaker Kraken,{10}{U}{U},12.0,This spell costs {1} less to cast for each snow land you control. When This Card enters the battlefield  artifacts and creatures target opponent controls don't untap during that player's next untap step. Return three snow lands you control to their owner's hand: Return This Card to its owner's hand.,8.0,8.0,0.16,khm,2
73,Reckless Cohort,{1}{R},2.0,This Card attacks each combat if able unless you control another Ally.,2.0,2.0,0.02,bfz,0
74,Ragefire Hellkite,{4}{R}{R},6.0,Flying Whenever This Card attacks  you may sacrifice another creature. If you do  This Card gains double strike until end of turn.,5.0,3.0,0.21,dmu,2
75,Minotaur Abomination,{4}{B}{B},6.0,_,4.0,6.0,0.03,m14,0
76,Summit Apes,{3}{G},4.0,As long as you control a Mountain  This Card has menace. (It can't be blocked except by two or more creatures.),5.0,2.0,0.11,wwk,1
77,Zulaport Chainmage,{3}{B},4.0,Cohort — {T}  Tap an untapped Ally you control: Target opponent loses 2 life.,4.0,2.0,0.02,ogw,0
78,Zodiac Goat,{R},1.0,Mountainwalk (This creature can't be blocked as long as defending player controls a Mountain.),1.0,1.0,6.9,ptk,0
79,Cinder Elemental,{3}{R},4.0,{X}{R}  {T}  Sacrifice This Card: It deals X damage to any target.,2.0,2.0,0.09,jmp,1
80,Mindclaw Shaman,{4}{R},5.0,When This Card enters the battlefield  target opponent reveals their hand. You may cast an instant or sorcery spell from among those cards without paying its mana cost.,2.0,2.0,0.24,m13,1
81,Ashen Monstrosity,{5}{R}{R},7.0,Haste This Card attacks each combat if able.,7.0,4.0,0.12,bok,1
82,Leafcrown Dryad,{1}{G},2.0,Bestow {3}{G} (If you cast this card for its bestow cost  it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.) Reach Enchanted creature gets +2/+2 and has reach.,2.0,2.0,0.08,ths,0
83,"Uurg, Spawn of Turg",{B}{B}{G},3.0,This Card's power is equal to the number of land cards in your graveyard. At the beginning of your upkeep  surveil 1. (Look at the top card of your library. You may put that card into your graveyard.) {B}{G}  Sacrifice a land: You gain 2 life.,4.0,5.0,0.04,dmu,1
84,Royal Warden,{3}{B}{B},5.0,Phalanx Commander — When This Card enters the battlefield  create two tapped 2/2 black Necron Warrior artifact creature tokens. Unearth {3}{B} ({3}{B}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.),3.0,2.0,0.29,40k,2
85,Rhox Maulers,{4}{G},5.0,Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.) Renown 2 (When this creature deals combat damage to a player  if it isn't renowned  put two +1/+1 counters on it and it becomes renowned.),4.0,4.0,0.03,ori,0
86,Spitfire Handler,{1}{R},2.0,This Card can't block creatures with power greater than This Card's power. {R}: This Card gets +1/+0 until end of turn.,1.0,1.0,0.11,ons,1
87,Scribe of the Mindful,{2}{U},3.0,{1}  {T}  Sacrifice This Card: Return target instant or sorcery card from your graveyard to your hand.,2.0,2.0,0.02,akh,0
88,"Jareth, Leonine Titan",{3}{W}{W}{W},6.0,Whenever This Card blocks  it gets +7/+7 until end of turn. {W}: Jareth gains protection from the color of your choice until end of turn.,4.0,7.0,0.48,cm2,2
89,Dwarven Thaumaturgist,{2}{R},3.0,{T}: Switch target creature's power and toughness until end of turn.,1.0,2.0,1.96,wth,2
90,Salvage Scuttler,{4}{U},5.0,Whenever This Card attacks  return an artifact you control to its owner's hand.,4.0,4.0,0.06,aer,1
91,"Rashmi, Eternities Crafter",{2}{G}{U},4.0,Whenever you cast your first spell each turn  reveal the top card of your library. You may cast it without paying its mana cost if it's a spell with lesser mana value. If you don't cast it  put it into your hand.,2.0,3.0,0.74,c20,3
92,Bedlam Reveler,{6}{R}{R},8.0,This spell costs {1} less to cast for each instant and sorcery card in your graveyard. Prowess When This Card enters the battlefield  discard your hand  then draw three cards.,3.0,4.0,0.15,2x2,2
93,"Halsin, Emerald Archdruid",{3}{G},4.0,{1}: Until end of turn  target token you control becomes a green Bear creature with base power and toughness 4/4 in addition to its other colors and types. Choose a Background (You can have a Background as a second commander.),2.0,4.0,0.05,clb,1
94,Zendikar Farguide,{4}{G},5.0,Forestwalk (This creature can't be blocked as long as defending player controls a Forest.),3.0,3.0,0.06,zen,0
95,Impetuous Devils,{2}{R}{R},4.0,Trample  haste When This Card attacks  up to one target creature defending player controls blocks it this combat if able. At the beginning of the end step  sacrifice This Card.,6.0,1.0,0.16,emn,2
96,Etherium-Horn Sorcerer,{4}{U}{R},6.0,{1}{U}{R}: Return This Card to its owner's hand. Cascade (When you cast this spell  exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom of your library in a random order.),3.0,6.0,0.23,c17,2
97,Embermaw Hellion,{3}{R}{R},5.0,Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.) If another red source you control would deal damage to a permanent or player  it deals that much damage plus 1 to that permanent or player instead.,4.0,5.0,0.29,ori,2
98,Eight-and-a-Half-Tails,{W}{W},2.0,{1}{W}: Target permanent you control gains protection from white until end of turn. {1}: Target spell or permanent becomes white until end of turn.,2.0,2.0,0.14,clb,2
99,Akki Rockspeaker,{1}{R},2.0,When This Card enters the battlefield  add {R}.,1.0,1.0,0.11,chk,0
100,Cogwork Assembler,{3},3.0,{7}: Create a token that's a copy of target artifact. That token gains haste. Exile it at the beginning of the next end step.,2.0,3.0,0.07,2xm,1
102,Void Grafter,{1}{G}{U},3.0,Devoid (This card has no color.) Flash (You may cast this spell any time you could cast an instant.) When This Card enters the battlefield  another target creature you control gains hexproof until end of turn.,2.0,4.0,0.13,ogw,1
103,Valeron Outlander,{G}{W},2.0,Protection from black,2.0,2.0,0.08,con,0
104,Master of the Feast,{1}{B}{B},3.0,Flying At the beginning of your upkeep  each opponent draws a card.,5.0,5.0,3.89,jou,2
105,Fallaji Wayfarer,{2}{G},3.0,This Card is all colors. This ability doesn't affect its color identity. (It can be in any deck whose commander's color identity includes green.) Multicolored spells you cast have convoke. (Your creatures can help cast those spells. Each creature you tap while casting a multicolored spell pays for {1} or one mana of a color that creature is.),2.0,4.0,0.57,dmc,2
106,Labyrinth Guardian,_,0.0,When This Card becomes the target of a spell  sacrifice it.,2.0,3.0,0.08,takh,0
107,Soldier,_,0.0,Vigilance,2.0,2.0,0.31,twar,0
108,Sulam Djinn,{5}{G},6.0,Trample This Card gets -2/-2 as long as green is the most common color among all permanents or is tied for most common.,6.0,6.0,0.18,inv,1
109,Voice of the Blessed,{W}{W},2.0,Whenever you gain life  put a +1/+1 counter on This Card. As long as This Card has four or more +1/+1 counters on it  it has flying and vigilance. As long as This Card has ten or more +1/+1 counters on it  it has indestructible.,2.0,2.0,2.57,vow,2
110,Embraal Gear-Smasher,{2}{R},3.0,{T}  Sacrifice an artifact: This Card deals 2 damage to each opponent.,2.0,3.0,0.05,aer,0
111,Messenger Falcons,{2}{G/U}{W},4.0,Flying When This Card enters the battlefield  draw a card.,2.0,2.0,0.21,arb,1
112,Nim Lasher,{2}{B},3.0,This Card gets +1/+0 for each artifact you control.,1.0,1.0,0.07,mrd,0
113,Albino Troll,{1}{G},2.0,Echo {1}{G} (At the beginning of your upkeep  if this came under your control since the beginning of your last upkeep  sacrifice it unless you pay its echo cost.) {1}{G}: Regenerate This Card.,3.0,3.0,0.07,gvl,1
114,Kadena's Silencer,{1}{U},2.0,When This Card is turned face up  counter all abilities your opponents control. Megamorph {1}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.),2.0,1.0,0.11,c19,2
115,Surly Badgersaur,{3}{R},4.0,"Whenever you discard a creature card  put a +1/+1 counter on This Card. Whenever you discard a land card  create a Treasure token. (It's an artifact with ""{T}  Sacrifice this artifact: Add one mana of any color."") Whenever you discard a noncreature  nonland card  This Card fights up to one target creature you don't control.",3.0,3.0,0.73,c20,2
116,Gravetiller Wurm,{5}{G},6.0,Trample Morbid — This Card enters the battlefield with four +1/+1 counters on it if a creature died this turn.,4.0,4.0,0.15,dka,1
117,Sworn Defender,{2}{W}{W},4.0,{1}: This Card's power becomes the toughness of target creature blocking or being blocked by This Card minus 1 until end of turn  and This Card's toughness becomes 1 plus the power of that creature until end of turn.,1.0,3.0,1.19,all,2
118,"Gluntch, the Bestower",{1}{G}{W},3.0,Flying At the beginning of your end step  choose a player. They put two +1/+1 counters on a creature they control. Choose a second player to draw a card. Then choose a third player to create two Treasure tokens.,0.0,5.0,0.19,clb,2
119,Seasoned Pyromancer,{1}{R}{R},3.0,When This Card enters the battlefield  discard two cards  then draw two cards. For each nonland card discarded this way  create a 1/1 red Elemental creature token. {3}{R}{R}  Exile This Card from your graveyard: Create two 1/1 red Elemental creature tokens.,2.0,2.0,14.8,2x2,3
120,Ravenous Gigantotherium,{5}{G}{G},7.0,Devour 3 (As this enters the battlefield  you may sacrifice any number of creatures. This creature enters the battlefield with three times that many +1/+1 counters on it.) When This Card enters the battlefield  it deals X damage divided as you choose among up to X target creatures  where X is its power. Each of those creatures deals damage equal to its power to This Card.,3.0,3.0,0.15,c20,2
122,Archangel of Wrath,{2}{W}{W},4.0,Kicker {B} and/or {R} (You may pay an additional {B} and/or {R} as you cast this spell.) Flying  lifelink When This Card enters the battlefield  if it was kicked  it deals 2 damage to any target. When This Card enters the battlefield  if it was kicked twice  it deals 2 damage to any target.,3.0,4.0,0.21,dmu,2
123,Granger Guildmage,{G},1.0,{R}  {T}: This Card deals 1 damage to any target and 1 damage to you. {W}  {T}: Target creature gains first strike until end of turn.,1.0,1.0,0.1,mir,0
124,Viashino Lashclaw,{1}{R},2.0,{T}  Discard a card: Creatures you control gain haste until end of turn.,2.0,2.0,0.01,mh2,0
125,"Kopala, Warden of Waves",{1}{U}{U},3.0,Spells your opponents cast that target a Merfolk you control cost {2} more to cast. Abilities your opponents activate that target a Merfolk you control cost {2} more to activate.,2.0,2.0,0.82,xln,2
126,Excavating Anurid,{4}{G},5.0,When This Card enters the battlefield  you may sacrifice a land. If you do  draw a card. Threshold — As long as seven or more cards are in your graveyard  This Card gets +1/+1 and has vigilance.,4.0,4.0,0.03,mh1,0
127,"Ma Chao, Western Warrior",{3}{R}{R},5.0,Horsemanship (This creature can't be blocked except by creatures with horsemanship.) Whenever This Card attacks alone  it can't be blocked this combat.,3.0,3.0,20.0,ptk,2
129,Raving Oni-Slave,{1}{B},2.0,When This Card enters or leaves the battlefield  you lose 3 life if you don't control a Demon.,3.0,3.0,0.09,sok,0
130,Angel of Despair,{3}{W}{W}{B}{B},7.0,Flying When This Card enters the battlefield  destroy target permanent.,5.0,5.0,1.04,uma,1
131,"Winota, Joiner of Forces",{2}{R}{W},4.0,Whenever a non-Human creature you control attacks  look at the top six cards of your library. You may put a Human creature card from among them onto the battlefield tapped and attacking. It gains indestructible until end of turn. Put the rest of the cards on the bottom of your library in a random order.,4.0,4.0,3.51,iko,3
132,Nomadic Elf,{1}{G},2.0,{1}{G}: Add one mana of any color.,2.0,2.0,0.11,dde,0
133,Spearbreaker Behemoth,{5}{G}{G},7.0,Indestructible {1}: Target creature with power 5 or greater gains indestructible until end of turn.,5.0,5.0,0.23,nec,2
134,Flycatcher Giraffid,{4}{G},5.0,This Card enters the battlefield with your choice of a vigilance counter or a reach counter on it.,3.0,5.0,0.01,iko,0
135,Monk,_,0.0,Prowess (Whenever you cast a noncreature spell  this creature gets +1/+1 until end of turn.),1.0,1.0,0.29,tdmu,0
136,Cytoplast Manipulator,{2}{U}{U},4.0,Graft 2 (This creature enters the battlefield with two +1/+1 counters on it. Whenever another creature enters the battlefield  you may move a +1/+1 counter from this creature onto it.) {U}  {T}: Gain control of target creature with a +1/+1 counter on it for as long as This Card remains on the battlefield.,0.0,0.0,7.93,dis,2
137,Spara's Adjudicators,{2}{G}{W}{U},5.0,"When This Card enters the battlefield  target creature an opponent controls can't attack or block until your next turn. {2}  Exile This Card from your hand: Target land gains ""{T}: Add {G}  {W}  or {U}"" until This Card is cast from exile. You may cast This Card for as long as it remains exiled.",4.0,4.0,0.01,snc,0
138,Selesnya Sagittars,{3}{G}{W},5.0,Reach (This creature can block creatures with flying.) This Card can block an additional creature each combat.,2.0,5.0,0.2,rav,1
139,Sultai Emissary,{1}{B},2.0,When This Card dies  manifest the top card of your library. (Put that card onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.),1.0,1.0,0.07,frf,0
140,Chainbreaker,{2},2.0,This Card enters the battlefield with two -1/-1 counters on it. {3}  {T}: Remove a -1/-1 counter from target creature.,3.0,3.0,0.27,shm,0
141,Sedge Sliver,{2}{R},3.0,"All Sliver creatures have ""This creature gets +1/+1 as long as you control a Swamp."" All Slivers have ""{B}: Regenerate this permanent."" (The next time it would be destroyed  instead tap it  remove it from combat  and heal all damage on it.)",2.0,2.0,0.42,tsr,2
142,Odunos River Trawler,{2}{B},3.0,When This Card enters the battlefield  return target enchantment creature card from your graveyard to your hand. {W}  Sacrifice This Card: Return target enchantment creature card from your graveyard to your hand.,2.0,2.0,0.08,bng,1
143,Freewind Equenaut,{2}{W},3.0,"Flying As long as This Card is enchanted  it has ""{T}: This Card deals 2 damage to target attacking or blocking creature.""",2.0,2.0,0.05,ddl,0
144,Goblin Trashmaster,{2}{R}{R},4.0,Other Goblins you control get +1/+1. Sacrifice a Goblin: Destroy target artifact.,3.0,3.0,3.72,m19,2
145,Greater Werewolf,{4}{B},5.0,At end of combat  put a -0/-2 counter on each creature blocking or blocked by This Card.,2.0,4.0,0.24,5ed,1
146,Guiltfeeder,{3}{B}{B},5.0,Fear (This creature can't be blocked except by artifact creatures and/or black creatures.) Whenever This Card attacks and isn't blocked  defending player loses 1 life for each card in their graveyard.,0.0,4.0,0.2,clb,2
147,Bushmeat Poacher,{3}{B},4.0,{1}  {T}  Sacrifice another creature: You gain life equal to the sacrificed creature's toughness. Draw a card.,2.0,4.0,0.05,iko,0
148,Mindblade Render,{1}{B},2.0,Whenever your opponents are dealt combat damage  if any of that damage was dealt by a Warrior  you draw a card and you lose 1 life.,1.0,3.0,0.12,clb,2
149,Glademuse,{2}{G},3.0,Whenever a player casts a spell  if it's not their turn  that player draws a card.,2.0,4.0,0.18,c20,2
150,Dross Crocodile,{3}{B},4.0,_,5.0,1.0,0.12,10e,0
151,Cathedral Membrane,{1}{W/P},2.0,({W/P} can be paid with either {W} or 2 life.) Defender When This Card dies during combat  it deals 6 damage to each creature it blocked this combat.,0.0,3.0,0.16,nph,1
152,Ruthless Sniper,{B},1.0,Whenever you cycle or discard a card  you may pay {1}. If you do  put a -1/-1 counter on target creature.,1.0,2.0,0.19,akh,1
153,Blink Dog,{2}{W},3.0,Double strike Teleport — {3}{W}: This Card phases out. (Treat it and anything attached to it as though they don't exist until your next turn.),1.0,1.0,0.03,afr,1
