,name,mana_cost,cmc,oracle_text,prices,set,rarity
118,Hall of Tagsin,_,0.0,"{T}: Add {C}. {1}  {T}: Add one mana of any color. {4}  {T}: Create a tapped Powerstone token. (It's an artifact with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")",0.24,bro,2
119,Over the Top,{5}{R}{R},7.0,Each player reveals a number of cards from the top of their library equal to the number of nonland permanents they control  puts all permanent cards they revealed this way onto the battlefield  and puts the rest into their graveyard.,0.24,bro,2
120,Disfigure,{B},1.0,Target creature gets -2/-2 until end of turn.,0.06,bro,0
121,Mountain,_,0.0,({T}: Add {R}.),0.07,bro,0
122,Fallaji Excavation,{3}{G}{G},5.0,"Create three tapped Powerstone tokens. You gain 3 life. (The tokens are artifacts with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")",0.05,bro,1
123,Tawnos's Tinkering,{3}{G},4.0,Put two +1/+1 counters on target artifact  creature  or land you control. Untap that permanent. If it isn't a creature  it becomes a 0/0 creature in addition to its other types.,0.01,bro,0
124,Giant Growth,{G},1.0,Target creature gets +3/+3 until end of turn.,0.03,bro,0
125,Portal to Phyrexia,{9},9.0,When This Card enters the battlefield  each opponent sacrifices three creatures. At the beginning of your upkeep  put target creature card from a graveyard onto the battlefield under your control. It's a Phyrexian in addition to its other types.,28.40,bro,3
126,Whirling Strike,{1}{R},2.0,Target creature gets +2/+0 and gains first strike and trample until end of turn.,0.05,bro,0
127,"Argoth, Sanctum of Nature",_,0.0,This Card enters the battlefield tapped unless you control a legendary green creature. {T}: Add {G}. {2}{G}{G}  {T}: Create a 2/2 green Bear creature token  then mill three cards. Activate only as a sorcery. (Melds with Titania  Voice of Gaea.),1.70,bro,2
128,Urza's Command,{2}{U}{U},4.0,"Choose two — • Creatures you don't control get -2/-0 until end of turn. • Create a tapped Powerstone token. • Create a tapped 0/0 colorless Construct artifact creature token with ""This creature gets +1/+1 for each artifact you control."" • Scry 1  then draw a card.",0.24,bro,2
129,Mechanized Warfare,{1}{R}{R},3.0,If a red or artifact source you control would deal damage to an opponent or a permanent an opponent controls  it deals that much damage plus 1 instead.,0.39,bro,2
130,Mishra's Research Desk,{1},1.0,{1}  {T}  Sacrifice This Card: Exile the top two cards of your library. Choose one of them. Until the end of your next turn  you may play that card. Unearth {1}{R} ({1}{R}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.),0.21,bro,1
131,Ashnod's Intervention,{B},1.0,"Until end of turn  target creature gets +2/+0 and gains ""When this creature dies or is put into exile from the battlefield  return it to its owner's hand.""",0.06,bro,0
132,Painful Quandary,{3}{B}{B},5.0,Whenever an opponent casts a spell  that player loses 5 life unless they discard a card.,0.70,bro,2
133,Island,_,0.0,({T}: Add {U}.),0.05,bro,0
134,Forest,_,0.0,({T}: Add {G}.),0.32,bro,0
135,Sibling Rivalry,{3}{R},4.0,"Gain control of target artifact or creature until end of turn. Untap it. It gains haste until end of turn. Create a tapped Powerstone token. (It's an artifact with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")",0.07,bro,0
136,Mountain,_,0.0,({T}: Add {R}.),0.32,bro,0
137,Visions of Phyrexia,{2}{R}{R},4.0,"At the beginning of your upkeep  exile the top card of your library. You may play that card this turn. At the beginning of your end step  if you didn't play a card from exile this turn  create a tapped Powerstone token. (It's an artifact with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")",0.34,bro,2
138,Blast Zone,_,0.0,This Card enters the battlefield with a charge counter on it. {T}: Add {C}. {X}{X}  {T}: Put X charge counters on This Card. {3}  {T}  Sacrifice This Card: Destroy each nonland permanent with mana value equal to the number of charge counters on This Card.,0.33,bro,2
139,Dredging Claw,{2},2.0,Equipped creature gets +1/+0 and has menace. (It's can't be blocked except by two or more creatures.) Whenever a creature enters the battlefield from your graveyard  you may attach This Card to it. Equip {1}{B} ({1}{B}: Attach to target creature you control. Equip only as a sorcery.),0.03,bro,0
140,Corrupt,{5}{B},6.0,This Card deals damage to any target equal to the number of Swamps you control. You gain life equal to the damage dealt this way.,0.05,bro,1
141,Painful Quandary,{3}{B}{B},5.0,Whenever an opponent casts a spell  that player loses 5 life unless they discard a card.,1.28,bro,2
142,Transmogrant Altar,{3},3.0,{B}  {T}  Sacrifice a creature: Add {C}{C}{C}. {2}  {T}  Sacrifice a creature: Create a 3/3 colorless Zombie artifact creature token. Activate only as a sorcery.,0.10,bro,1
143,Swamp,_,0.0,({T}: Add {B}.),0.49,bro,0
144,Energy Refractor,{2},2.0,When This Card enters the battlefield  draw a card. {2}: Add one mana of any color.,0.13,bro,0
145,Mountain,_,0.0,({T}: Add {R}.),0.26,bro,0
146,Arms Race,{3}{R},4.0,{3}{R}: You may put an artifact card from your hand onto the battlefield. That artifact gains haste. Sacrifice it at the beginning of the next end step.,0.10,bro,1
147,Urza's Sylex,{3},3.0,{2}{W}{W}  {T}  Exile This Card: Each player chooses six lands they control. Destroy all other permanents. Activate only as a sorcery. When This Card is put into exile from the battlefield  you may pay {2}. If you do  search your library for a planeswalker card  reveal it  put it into your hand  then shuffle.,3.59,bro,3
148,Machine Over Matter,{1}{U},2.0,This spell costs {1} less to cast if you control an artifact creature. Return target nonland permanent to its owner's hand.,0.09,bro,0
149,Transmogrant's Crown,{2},2.0,Equipped creature gets +2/+0. Whenever equipped creature dies  draw a card. Equip {2} or {B},0.61,bro,2
150,Island,_,0.0,({T}: Add {U}.),0.42,bro,0
151,Involuntary Cooldown,{3}{U},4.0,Tap up to two target artifacts and/or creatures. Put two stun counters on each of them. (If a permanent with a stun counter would become untapped  remove one from it instead.),0.05,bro,1
152,Awaken the Woods,{X}{G}{G},2.0,Create X 1/1 green Forest Dryad land creature tokens. (They're affected by summoning sickness.),27.52,bro,3
153,Diabolic Intent,{1}{B},2.0,As an additional cost to cast this spell  sacrifice a creature. Search your library for a card  put that card into your hand  then shuffle.,8.34,bro,2
154,Slagstone Refinery,{4},4.0,"Whenever This Card or another nontoken artifact you control is put into a graveyard from the battlefield or is put into exile from the battlefield  create a tapped Powerstone token. (It's an artifact with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")",0.10,bro,1
155,Llanowar Wastes,_,0.0,{T}: Add {C}. {T}: Add {B} or {G}. This Card deals 1 damage to you.,1.66,bro,2
156,Demolition Field,_,0.0,{T}: Add {C}. {2}  {T}  Sacrifice This Card: Destroy target nonbasic land an opponent controls. That land's controller may search their library for a basic land card  put it onto the battlefield  then shuffle. You may search your library for a basic land card  put it onto the battlefield  then shuffle.,0.50,bro,1
157,Mishra's Foundry,_,0.0,{T}: Add {C}. {2}: This Card becomes a 2/2 Assembly-Worker artifact creature until end of turn. It's still a land. {1}  {T}: Target attacking Assembly-Worker gets +2/+2 until end of turn.,0.51,bro,2
158,Transmogrant's Crown,{2},2.0,Equipped creature gets +2/+0. Whenever equipped creature dies  draw a card. Equip {2} or {B},0.48,bro,2
159,Hall of Tagsin,_,0.0,"{T}: Add {C}. {1}  {T}: Add one mana of any color. {4}  {T}: Create a tapped Powerstone token. (It's an artifact with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")",0.49,bro,2
160,Hurkyl's Final Meditation,{4}{U}{U}{U},7.0,"As long as it's not your turn  this spell costs {3} more to cast. Return all nonland permanents to their owner's hands. End the turn. (Exile all spells and abilities from the stack  including this card. The player whose turn it is discards down to their maximum hand size. Damage wears off  and ""this turn"" and ""until end of turn"" effects end.)",0.24,bro,2
161,Fortified Beachhead,_,0.0,As This Card enters the battlefield  you may reveal a Soldier card from your hand. This Card enters the battlefield tapped unless you revealed a Soldier card this way or you control a Soldier. {T}: Add {W} or {U}. {5}  {T}: Soldiers you control get +1/+1 until end of turn.,0.62,bro,2
162,Blanchwood Armor,{2}{G},3.0,Enchant creature Enchanted creature gets +1/+1 for each Forest you control.,0.07,bro,1
163,Meticulous Excavation,{W},1.0,{2}{W}: Return target permanent you control to its owner's hand. If it has unearth  instead exile it  then return that card to its owner's hand. Activate only during your turn.,0.16,bro,1
