,name,mana_cost,cmc,oracle_text,power,toughness,prices,set,rarity
10,Warlord's Elite,{2}{W},3.0,As an additional cost to cast this spell  tap two untapped artifacts  creatures  and/or lands you control.,4.0,4.0,0.06,bro,0
11,Gaea's Courser,{4}{G},5.0,Whenever This Card attacks  if there are three or more creature cards in your graveyard  draw a card.,4.0,5.0,0.07,bro,1
12,Steel Seraph,{6},6.0,Prototype {1}{W}{W} — 3/3 (You may cast this spell with different mana cost  color  and size. It keeps its abilities and types.) Flying At the beginning of combat on your turn  target creature you control gains your choice of flying  vigilance  or lifelink until end of turn.,5.0,4.0,0.94,bro,2
13,Penregon Strongbull,{2}{R},3.0,{1}  Sacrifice an artifact: This Card gets +1/+1 until end of turn and deals 1 damage to each opponent.,2.0,3.0,0.04,bro,0
14,Yotian Dissident,{G}{W},2.0,Whenever an artifact enters the battlefield under your control  put a +1/+1 counter on target creature you control.,1.0,1.0,0.08,bro,1
15,"Tawnos, the Toymaker",{3}{G}{U},5.0,Whenever you cast a Beast or Bird creature spell  you may copy it  except the copy is an artifact in addition to its other types. (The copy becomes a token.),3.0,5.0,0.13,bro,2
16,Rescue Retriever,{3}{W}{W},5.0,Flash When This Card enters the battlefield  put a +1/+1 counter on each other Soldier you control. Prevent all damage that would be dealt to other attacking Soldiers you control.,3.0,3.0,0.25,bro,2
17,Teething Wurmlet,{G},1.0,This Card has deathtouch as long as you control three or more artifacts. Whenever an artifact enters the battlefield under your control  you gain 1 life. If this is the first time this ability has resolved this turn  put a +1/+1 counter on This Card.,1.0,1.0,0.25,bro,2
18,Rootwire Amalgam,{5},5.0,Prototype {1}{G} — 2/3 (You may cast this spell with different mana cost  color  and size. It keeps its abilities and types.) {3}{G}{G}  Sacrifice This Card: Create an X/X colorless Golem artifact creature token  where X is three times This Card's power. It gains haste until end of turn. Activate only as a sorcery.,5.0,5.0,1.75,bro,3
19,"Tocasia, Dig Site Mentor",{1}{G}{W}{U},4.0,"Creatures you control have vigilance and ""{T}: Surveil 1."" (To surveil 1  look at the top card of your library. You may put that card into your graveyard.) {2}{G}{G}{W}{W}{U}{U}  Exile This Card from your graveyard: Return any number of target artifact cards with total mana value 10 or less from your graveyard to the battlefield. Activate only as a sorcery.",4.0,3.0,0.25,bro,2
20,Argivian Avenger,{6},6.0,{1}: Until end of turn  This Card gets -1/-1 and gains your choice of flying  vigilance  deathtouch  or haste.,5.0,5.0,0.04,bro,1
21,Powerstone Engineer,{1}{W},2.0,"When This Card dies  create a tapped Powerstone token. (It's an artifact with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")",2.0,1.0,0.06,bro,0
22,Phalanx Vanguard,{1}{W},2.0,Vigilance Whenever an artifact enters the battlefield under your control  This Card gets +1/+0 until end of turn.,2.0,2.0,0.05,bro,0
23,"Gix, Yawgmoth Praetor",{1}{B}{B},3.0,Whenever a creature deals combat damage to one of your opponents  its controller may pay 1 life. If they do  they draw a card. {4}{B}{B}{B}  Discard X cards: Exile the top X cards of target opponent's library. You may play land cards and cast spells from among cards exiled this way without paying their mana costs.,3.0,3.0,15.93,bro,3
24,Gixian Puppeteer,{3}{B},4.0,Whenever you draw your second card each turn  each opponent loses 2 life and you gain 2 life. When This Card dies  return another target creature card with mana value 3 or less from your graveyard to the battlefield.,4.0,3.0,0.26,bro,2
25,Gnawing Vermin,{B},1.0,When This Card enters the battlefield  target player mills two cards. When This Card dies  target creature you don't control gets -1/-1 until end of turn.,1.0,1.0,0.06,bro,1
26,Ravenous Gigamole,{3}{B},4.0,When This Card enters the battlefield  mill three cards. You may put a creature card from among the cards milled this way into your hand. If you don't  put a +1/+1 counter on This Card. (To mill a card  put the top card of your library into your graveyard.),2.0,3.0,0.06,bro,0
27,Terror Ballista,{7},7.0,Menace Whenever This Card attacks  you may sacrifice another creature. When you do  destroy target creature an opponent controls. Unearth {3}{B}{B} ({3}{B}{B}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.),5.0,3.0,0.23,bro,2
28,Depth Charge Colossus,{9},9.0,Prototype {4}{U}{U} — 6/6 (You may cast this spell with different mana cost  color  and size. It keeps its abilities and types.) This Card doesn't untap during your untap step. {3}: Untap This Card.,9.0,9.0,0.05,bro,0
29,Cityscape Leveler,{8},8.0,Trample When you cast this spell and whenever This Card attacks  destroy up to one target nonland permanent. Its controller creates a tapped Powerstone token. Unearth {8},8.0,8.0,7.41,bro,3
30,Woodcaller Automaton,{10},10.0,Prototype {2}{G}{G} — 3/3 (You may cast this spell with different mana cost  color  and size. It keeps its abilities and types.) When This Card enters the battlefield  if you cast it  untap target land you control. It becomes a Treefolk creature with haste and base power and toughness equal to This Card's power and toughness. It's still a land.,8.0,8.0,0.31,bro,2
31,Phyrexian Fleshgorger,{7},7.0,Prototype {1}{B}{B} — 3/3 (You may cast this spell with different mana cost  color  and size. It keeps its abilities and types.) Menace  lifelink Ward—Pay life equal to This Card's power.,7.0,5.0,15.95,bro,3
32,Steel Exemplar,{5},5.0,Trample This Card enters the battlefield with two +1/+1 counters on it unless two or more colors of mana were spent to cast it.,4.0,4.0,0.13,bro,1
33,Aeronaut Cavalry,{4}{W},5.0,Flying When This Card enters the battlefield  put a +1/+1 counter on another target Soldier you control.,3.0,4.0,0.03,bro,0
34,Skitterbeam Battalion,{9},9.0,Prototype {3}{R}{R} — 2/2 (You may cast this spell with different mana cost  color  and size. It keeps its abilities and types.) Trample  haste When This Card enters the battlefield  if you cast it  create two tokens that are copies of it.,4.0,4.0,0.68,bro,3
35,Hulking Metamorph,{9},9.0,Prototype {2}{U}{U} — 3/3 (You may cast this spell with different mana cost  color  and size. It keeps its abilities and types.) You may have This Card enter the battlefield as a copy of an artifact or creature you control  except it's an artifact creature in addition to its other types  and its power and toughness are equal to This Card's power and toughness.,7.0,7.0,0.14,bro,1
36,Thran Spider,{3},3.0,Reach When This Card enters the battlefield  you and target opponent each create a tapped Powerstone token. {7}: Look at the top four cards of your library. You may reveal an artifact card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.,2.0,4.0,0.21,bro,2
37,Wing Commando,{2}{U},3.0,Flying Prowess (Whenever you cast a noncreature spell  this creature gets +1/+1 until end of turn.),2.0,2.0,0.04,bro,0
38,"Urza, Powerstone Prodigy",{2}{U},3.0,"Vigilance {1}  {T}: Draw a card  then discard a card. Whenever you discard one or more artifact cards  create a tapped Powerstone token. This ability triggers only once each turn. (The token is an artifact with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")",1.0,3.0,0.06,bro,1
39,Deathbloom Ritualist,{3}{B}{G},5.0,{T}: Add X mana of any one color  where X is the number of creature cards in your graveyard.,3.0,5.0,0.23,bro,2
40,Scrapwork Mutt,{2},2.0,When This Card enters the battlefield  you may discard a card. If you do  draw a card. Unearth {1}{R} ({1}{R}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.),2.0,1.0,0.12,bro,0
41,Kill-Zone Acrobat,{2}{B},3.0,Whenever This Card attacks  you may sacrifice another creature or artifact. If you do  This Card gains flying until end of turn.,3.0,2.0,0.04,bro,0
42,"Harbin, Vanguard Aviator",{W}{U},2.0,Flying Whenever you attack with five or more Soldiers  creatures you control get +1/+1 and gain flying until end of turn.,3.0,2.0,0.48,bro,2
43,"Harbin, Vanguard Aviator",{W}{U},2.0,Flying Whenever you attack with five or more Soldiers  creatures you control get +1/+1 and gain flying until end of turn.,3.0,2.0,0.35,bro,2
44,Fallaji Chaindancer,{3}{R},4.0,{2}: This Card gains double strike until end of turn.,2.0,4.0,0.06,bro,0
45,Fauna Shaman,{1}{G},2.0,{G}  {T}  Discard a creature card: Search your library for a creature card  reveal it  put it into your hand  then shuffle.,2.0,2.0,2.38,bro,2
46,"Tawnos, the Toymaker",{3}{G}{U},5.0,Whenever you cast a Beast or Bird creature spell  you may copy it  except the copy is an artifact in addition to its other types. (The copy becomes a token.),3.0,5.0,0.18,bro,2
47,Cradle Clearcutter,{6},6.0,Prototype {2}{G} - 1/3 (You may cast this spell with different mana cost  color  and size. It keeps its abilities and types.) {T}: Add an amount of {G} equal to This Card's power.,3.0,6.0,0.06,bro,1
48,Misery's Shadow,{1}{B},2.0,If a creature an opponent controls would die  exile it instead. {1}: This Card gets +1/+1 until end of turn.,2.0,2.0,2.79,bro,2
49,Artificer's Dragon,{6},6.0,Flying {R}: Artifact creatures you control get +1/+0 until end of turn. Unearth {3}{R}{R} ({3}{R}{R}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.),4.0,4.0,0.21,bro,2
50,Terror Ballista,{7},7.0,Menace Whenever This Card attacks  you may sacrifice another creature. When you do  destroy target creature an opponent controls. Unearth {3}{B}{B} ({3}{B}{B}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.),5.0,3.0,0.19,bro,2
51,"Mishra, Tamer of Mak Fawa",{3}{B}{R},5.0,"Permanents you control have ""Ward—Sacrifice a permanent."" Each artifact card in your graveyard has unearth {1}{B}{R}. ({1}{B}{R}: Return the card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)",4.0,4.0,0.37,bro,2
52,Ashnod's Harvester,{2},2.0,Whenever This Card attacks  exile target card from a graveyard. Unearth {1}{B} ({1}{B}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.),3.0,1.0,0.05,bro,1
53,Rescue Retriever,{3}{W}{W},5.0,Flash When This Card enters the battlefield  put a +1/+1 counter on each other Soldier you control. Prevent all damage that would be dealt to other attacking Soldiers you control.,3.0,3.0,0.89,bro,2
54,Loran of the Third Path,{2}{W},3.0,Vigilance When This Card enters the battlefield  destroy up to one target artifact or enchantment. {T}: You and target opponent each draw a card.,2.0,1.0,2.68,bro,2
55,"Hajar, Loyal Bodyguard",{R}{G},2.0,Sacrifice This Card: Legendary creatures you control get +1/+0 and gain indestructible until end of turn.,3.0,3.0,0.20,bro,2
56,Gixian Puppeteer,{3}{B},4.0,Whenever you draw your second card each turn  each opponent loses 2 life and you gain 2 life. When This Card dies  return another target creature card with mana value 3 or less from your graveyard to the battlefield.,4.0,3.0,0.35,bro,2
57,"Urza, Prince of Kroog",{2}{W}{U},4.0,Artifact creatures you control get +2/+2. {6}: Create a token that's a copy of target artifact you control  except it's a 1/1 Soldier creature in addition to its other types.,2.0,3.0,0.44,bro,2
58,Mine Worker,{2},2.0,{T}: You gain 1 life. If you control creatures named Power Plant Worker and Tower Worker  you gain 3 life instead.,2.0,1.0,0.08,bro,0
59,Roc Hunter,{1}{R},2.0,Reach,3.0,1.0,0.04,bro,0
60,"Feldon, Ronom Excavator",{1}{R},2.0,Haste This Card can't block. Whenever Feldon is dealt damage  exile that many cards from the top of your library. Choose one of them. Until the end of your next turn  you may play that card.,2.0,2.0,0.16,bro,2
61,Horned Stoneseeker,{1}{R},2.0,"Menace When This Card enters the battlefield  create a tapped Powerstone token. (It's an artifact with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."") When This Card leaves the battlefield  sacrifice a Powerstone.",2.0,2.0,0.09,bro,1
62,"Ashnod, Flesh Mechanist",{B},1.0,Deathtouch Whenever This Card attacks  you may sacrifice another creature. If you do  create a tapped Powerstone token. {5}  Exile a creature card from your graveyard: Create a tapped 3/3 colorless Zombie artifact creature token.,1.0,1.0,0.26,bro,2
63,"Hurkyl, Master Wizard",{1}{U}{U},3.0,At the beginning of your end step  if you've cast a noncreature spell this turn  reveal the top five cards of your library. For each card type among noncreature spells you've cast this turn  you may put a card of that type from among the revealed cards into your hand. Put the rest on the bottom of your library in a random order.,2.0,4.0,0.26,bro,2
64,Thopter Architect,{3}{W},4.0,Whenever an artifact enters the battlefield under your control  target creature gains flying until end of turn.,2.0,3.0,0.08,bro,1
65,Clay Champion,{X}{4},4.0,This Card enters the battlefield with three +1/+1 counters on it for each {G}{G} spent to cast it. When This Card enters the battlefield  choose up to two other target creatures you control. For each {W}{W} spent to cast This Card  put a +1/+1 counter on each of them.,2.0,2.0,0.85,bro,3
66,Phyrexian Fleshgorger,{7},7.0,Prototype {1}{B}{B} — 3/3 (You may cast this spell with different mana cost  color  and size. It keeps its abilities and types.) Menace  lifelink Ward—Pay life equal to This Card's power.,7.0,5.0,14.76,bro,3
67,Iron-Craw Crusher,{7},7.0,Prototype {2}{G}{G} — 2/5 (You may cast this spell with different mana cost  color  and size. It keeps its abilities and types.) Whenever This Card attacks  target attacking creature gets +X/+0 until end of turn  where X is This Card's power.,4.0,6.0,0.04,bro,1
68,Hoarding Recluse,{3}{G},4.0,Reach  deathtouch When This Card dies  put up to one other target card from a graveyard on the bottom of its owner's library.,2.0,3.0,0.06,bro,0
69,Carrion Locust,{2}{B},3.0,Flying When This Card enters the battlefield  exile target card from an opponent's graveyard. If it was a creature card  that player loses 1 life.,2.0,1.0,0.04,bro,0
70,Cityscape Leveler,{8},8.0,Trample When you cast this spell and whenever This Card attacks  destroy up to one target nonland permanent. Its controller creates a tapped Powerstone token. Unearth {8},8.0,8.0,6.75,bro,3
71,Queen Kayla bin-Kroog,{1}{R}{W},3.0,{4}  {T}: Discard all the cards in your hand  then draw that many cards. You may choose an artifact or creature card with mana value 1 you discarded this way  then do the same for artifact or creature cards with mana values 2 and 3. Return those cards to the battlefield. Activate only as a sorcery.,2.0,3.0,0.19,bro,2
72,Steel Seraph,{6},6.0,Prototype {1}{W}{W} — 3/3 (You may cast this spell with different mana cost  color  and size. It keeps its abilities and types.) Flying At the beginning of combat on your turn  target creature you control gains your choice of flying  vigilance  or lifelink until end of turn.,5.0,4.0,1.81,bro,2
73,Terisian Mindbreaker,{7},7.0,Whenever This Card attacks  defending player mills half their library  rounded up. Unearth {1}{U}{U}{U} ({1}{U}{U}{U}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.),6.0,4.0,0.19,bro,2
74,Platoon Dispenser,{5},5.0,At the beginning of your end step  if you control two or more other creatures  draw a card. {3}{W}: Create a 1/1 colorless Soldier artifact creature token. Unearth {2}{W}{W},4.0,6.0,1.43,bro,3
75,Perennial Behemoth,{5},5.0,You may play lands from your graveyard. Unearth {G}{G} ({G}{G}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.),2.0,7.0,0.36,bro,2
76,Boulderbranch Golem,{7},7.0,Prototype {3}{G} — 3/3 (You may cast this spell with different mana cost  color  and size. It keeps its abilities and types.) When This Card enters the battlefield  you gain life equal to its power.,6.0,5.0,0.05,bro,0
77,Alloy Animist,{G},1.0,{2}{G}: Until end of turn  target noncreature artifact you control becomes a 4/4 artifact creature.,1.0,1.0,0.05,bro,1
78,Tyrant of Kher Ridges,{4}{R}{R},6.0,Flying When This Card enters the battlefield  it deals 4 damage to any target. {R}: This Card gets +1/+0 until end of turn.,4.0,5.0,0.17,bro,2
79,Queen Kayla bin-Kroog,{1}{R}{W},3.0,{4}  {T}: Discard all the cards in your hand  then draw that many cards. You may choose an artifact or creature card with mana value 1 you discarded this way  then do the same for artifact or creature cards with mana values 2 and 3. Return those cards to the battlefield. Activate only as a sorcery.,2.0,3.0,0.39,bro,2
80,Combat Thresher,{7},7.0,Prototype {2}{W} — 1/1 (You may cast this spell with different mana cost  color  and size. It keeps its abilities and types.) Double strike When This Card enters the battlefield  draw a card.,3.0,3.0,0.08,bro,1
81,Thopter Mechanic,{1}{U},2.0,Whenever you draw your second card each turn  put a +1/+1 counter on This Card. When This Card dies  create a 1/1 colorless Thopter artifact creature token with flying.,2.0,1.0,0.05,bro,1
82,Misery's Shadow,{1}{B},2.0,If a creature an opponent controls would die  exile it instead. {1}: This Card gets +1/+1 until end of turn.,2.0,2.0,5.06,bro,2
83,Yotian Tactician,{2}{W}{U},4.0,Other Soldiers you control get +1/+1.,3.0,4.0,0.07,bro,1
84,Third Path Savant,{2}{U},3.0,{7}: Draw two cards.,2.0,3.0,0.03,bro,0
85,Airlift Chaplain,{2}{W},3.0,Flying When This Card enters the battlefield  mill three cards. You may put a Plains card or a creature card with mana value 3 or less from among the cards milled this way into your hand. If you don't  put a +1/+1 counter on This Card. (To mill a card  put the top card of your library into your graveyard.),1.0,1.0,0.04,bro,0
86,Clay Champion,{X}{4},4.0,This Card enters the battlefield with three +1/+1 counters on it for each {G}{G} spent to cast it. When This Card enters the battlefield  choose up to two other target creatures you control. For each {W}{W} spent to cast This Card  put a +1/+1 counter on each of them.,2.0,2.0,1.98,bro,3
87,Disciples of Gix,{4}{B}{B},6.0,When This Card enters the battlefield  search your library for up to three artifact cards  put them into your graveyard  then shuffle.,4.0,4.0,0.07,bro,1
88,"Gwenna, Eyes of Gaea",{2}{G},3.0,{T}: Add two mana in any combination of colors. Spend this mana only to cast creature spells or activate abilities of a creature or creature card. Whenever you cast a creature spell with power 5 or greater  put a +1/+1 counter on This Card and untap it.,2.0,3.0,0.84,bro,2
89,Survivor of Korlis,{W},1.0,First strike {1}{W}  Exile This Card from your graveyard: Scry 2.,1.0,1.0,0.05,bro,0
90,Rust Goliath,{10},10.0,Prototype {3}{G}{G} — 3/5 (You may cast this spell with different mana cost  color  and size. It keeps its abilities and types.) Reach  trample,10.0,10.0,0.05,bro,0
91,Haywire Mite,{1},1.0,When This Card dies  you gain 2 life. {G}  Sacrifice This Card: Exile target noncreature artifact or noncreature enchantment.,1.0,1.0,1.54,bro,1
92,Sarinth Greatwurm,{4}{R}{G},6.0,"Trample Whenever a land enters the battlefield  create a tapped Powerstone token. (It's an artifact with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")",7.0,6.0,3.27,bro,3
93,Skyfisher Spider,{2}{B}{G},4.0,Reach When This Card enters the battlefield  you may sacrifice another creature. When you do  destroy target nonland permanent. When This Card dies  you may gain 1 life for each creature card in your graveyard. If you do  exile This Card from your graveyard.,3.0,3.0,0.10,bro,1
94,"Urza, Lord Protector",{1}{W}{U},3.0,Artifact  instant  and sorcery spells you cast cost {1} less to cast. {7}: If you both own and control This Card and an artifact named The Mightstone and Weakstone  exile them  then meld them into Urza  Planeswalker. Activate only as a sorcery.,2.0,4.0,31.57,bro,3
95,Tyrant of Kher Ridges,{4}{R}{R},6.0,Flying When This Card enters the battlefield  it deals 4 damage to any target. {R}: This Card gets +1/+0 until end of turn.,4.0,5.0,0.29,bro,2
96,"Urza, Prince of Kroog",{2}{W}{U},4.0,Artifact creatures you control get +2/+2. {6}: Create a token that's a copy of target artifact you control  except it's a 1/1 Soldier creature in addition to its other types.,2.0,3.0,0.88,bro,2
97,Battlefield Butcher,{2}{B},3.0,{5}  {T}: Each opponent loses 2 life. This ability costs {1} less to activate for each creature card in your graveyard.,1.0,4.0,0.05,bro,1
98,"Tocasia, Dig Site Mentor",{1}{G}{W}{U},4.0,"Creatures you control have vigilance and ""{T}: Surveil 1."" (To surveil 1  look at the top card of your library. You may put that card into your graveyard.) {2}{G}{G}{W}{W}{U}{U}  Exile This Card from your graveyard: Return any number of target artifact cards with total mana value 10 or less from your graveyard to the battlefield. Activate only as a sorcery.",4.0,3.0,0.07,bro,2
99,Scrapwork Cohort,{4},4.0,When This Card enters the battlefield  create a 1/1 colorless Soldier artifact creature token. Unearth {2}{W} ({2}{W}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.),3.0,1.0,0.03,bro,0
100,Skystrike Officer,{2}{U},3.0,Flying Whenever This Card attacks  create a 1/1 colorless Soldier artifact creature token. Tap three untapped Soldiers you control: Draw a card.,2.0,3.0,0.53,bro,2
101,Spectrum Sentinel,{1},1.0,Protection from multicolored (This creature can't be blocked  targeted  dealt damage  enchanted  or equipped by anything multicolored.) Whenever a nonbasic land enters the battlefield under an opponent's control  you gain 1 life.,1.0,2.0,0.11,bro,1
102,"Hurkyl, Master Wizard",{1}{U}{U},3.0,At the beginning of your end step  if you've cast a noncreature spell this turn  reveal the top five cards of your library. For each card type among noncreature spells you've cast this turn  you may put a card of that type from among the revealed cards into your hand. Put the rest on the bottom of your library in a random order.,2.0,4.0,1.32,bro,3
103,"Myrel, Shield of Argive",{3}{W},4.0,During your turn  your opponents can't cast spells or activate abilities of artifacts  creatures  or enchantments. Whenever This Card attacks  create X 1/1 colorless Soldier artifact creature tokens  where X is the number of Soldiers you control.,3.0,4.0,22.21,bro,3
104,Air Marshal,{1}{U},2.0,{3}: Target Soldier gains flying until end of turn.,2.0,1.0,0.03,bro,0
105,Power Plant Worker,{5},5.0,{3}: This Card gets +2/+2 until end of turn. If you control creatures named Mine Worker and Tower Worker  put two +1/+1 counters on This Card instead. Activate only once each turn.,4.0,4.0,0.08,bro,0
106,"Loran, Disciple of History",{3}{W},4.0,Whenever This Card or another legendary creature enters the battlefield under your control  return target artifact card from your graveyard to your hand.,3.0,3.0,0.10,bro,1
107,Surge Engine,{2},2.0,"Defender {U}: This Card loses defender and gains ""This creature can't be blocked."" {2}{U}: This Card becomes blue and has base power and toughness 5/4. Activate only if This Card doesn't have defender. {4}{U}{U}: Draw three cards. Activate only if This Card is blue and only once.",3.0,2.0,3.13,bro,3
108,Blanchwood Prowler,{1}{G},2.0,When This Card enters the battlefield  mill three cards. You may put a land card from among the cards milled this way into your hand. If you don't  put a +1/+1 counter on This Card. (To mill a card  put the top card of your library into your graveyard.),1.0,1.0,0.03,bro,0
109,Hero of the Dunes,{3}{W}{B},5.0,When This Card enters the battlefield  return target artifact or creature card with mana value 3 or less from your graveyard to the battlefield. Creatures you control with mana value 3 or less get +1/+0.,3.0,2.0,0.06,bro,1
110,Gurgling Anointer,{2}{B},3.0,Flying Whenever you draw your second card each turn  put a +1/+1 counter on This Card. When This Card dies  return another target creature card with mana value less than or equal to This Card's power from your graveyard to the battlefield.,1.0,3.0,0.14,bro,1
111,Goring Warplow,{6},6.0,Prototype {1}{B} — 1/1 (You may cast this spell with different mana cost  color  and size. It keeps its abilities and types.) Deathtouch,5.0,4.0,0.06,bro,0
112,Woodcaller Automaton,{10},10.0,Prototype {2}{G}{G} — 3/3 (You may cast this spell with different mana cost  color  and size. It keeps its abilities and types.) When This Card enters the battlefield  if you cast it  untap target land you control. It becomes a Treefolk creature with haste and base power and toughness equal to This Card's power and toughness. It's still a land.,8.0,8.0,0.66,bro,2
113,Junkyard Genius,{1}{B}{R},3.0,"When This Card enters the battlefield  create a tapped Powerstone token. (It's an artifact with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."") {1}{B}{R}  Sacrifice another creature or artifact: Until end of turn  other creatures you control get +1/+0 and gain menace and haste.",2.0,2.0,0.07,bro,1
114,Rootwire Amalgam,{5},5.0,Prototype {1}{G} — 2/3 (You may cast this spell with different mana cost  color  and size. It keeps its abilities and types.) {3}{G}{G}  Sacrifice This Card: Create an X/X colorless Golem artifact creature token  where X is three times This Card's power. It gains haste until end of turn. Activate only as a sorcery.,5.0,5.0,2.04,bro,3
115,Lat-Nam Adept,{3}{U},4.0,Whenever you draw your second card each turn  put a +1/+1 counter on This Card.,3.0,3.0,0.08,bro,0
116,"Feldon, Ronom Excavator",{1}{R},2.0,Haste This Card can't block. Whenever Feldon is dealt damage  exile that many cards from the top of your library. Choose one of them. Until the end of your next turn  you may play that card.,2.0,2.0,0.27,bro,2
117,"Mishra, Claimed by Gix",{2}{B}{R},4.0,Whenever you attack  each opponent loses X life and you gain X life  where X is the number of attacking creatures. If This Card and a creature named Phyrexian Dragon Engine are attacking  and you both own and control them  exile them  then meld them into Mishra  Lost to Phyrexia. It enters the battlefield tapped and attacking.,3.0,5.0,30.21,bro,3
118,"Hajar, Loyal Bodyguard",{R}{G},2.0,Sacrifice This Card: Legendary creatures you control get +1/+0 and gain indestructible until end of turn.,3.0,3.0,0.76,bro,2
119,Burrowing Razormaw,{2}{G},3.0,When This Card dies  mill four cards. (Put the top four cards of your library into your graveyard.),4.0,2.0,0.08,bro,0
120,Citanul Stalwart,{G},1.0,{T}  Tap an untapped artifact or creature you control: Add one mana of any color.,1.0,1.0,0.06,bro,0
121,Trench Stalker,{4}{B},5.0,As long as you've drawn two or more cards this turn  This Card has deathtouch and lifelink.,4.0,5.0,0.07,bro,0
122,Terisian Mindbreaker,{7},7.0,Whenever This Card attacks  defending player mills half their library  rounded up. Unearth {1}{U}{U}{U} ({1}{U}{U}{U}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.),6.0,4.0,0.31,bro,2
123,Fallaji Archaeologist,{1}{U},2.0,When This Card enters the battlefield  mill three cards. You may put a noncreature  nonland card from among the cards milled this way into your hand. If you don't  put a +1/+1 counter on This Card. (To mill a card  put the top card of your library into your graveyard.),0.0,3.0,0.10,bro,0
124,Bladecoil Serpent,{X}{6},6.0,When This Card enters the battlefield  for each {U}{U} spent to cast it  draw a card. When This Card enters the battlefield  for each {B}{B} spent to cast it  each opponent discards a card. When This Card enters the battlefield  for each {R}{R} spent to cast it  it gets +1/+0 and gains trample and haste until end of turn.,5.0,4.0,2.23,bro,3
