,name,mana_cost,cmc,oracle_text,prices,set
40,Refocus,{1}{U},2.0,Untap target creature. Draw a card.,0.11,frf
41,Duplicity,{3}{U}{U},5.0,When This Card enters the battlefield  exile the top five cards of your library face down. At the beginning of your upkeep  you may exile all cards from your hand face down. If you do  put all other cards you own exiled with This Card into your hand. At the beginning of your end step  discard a card. When you lose control of This Card  put all cards exiled with This Card into their owner's graveyard.,0.22,tmp
42,Ondu Rising,{1}{W},2.0,Whenever a creature attacks this turn  it gains lifelink until end of turn. Awaken 4—{4}{W} (If you cast this spell for {4}{W}  also put four +1/+1 counters on target land you control and it becomes a 0/0 Elemental creature with haste. It's still a land.),0.06,bfz
43,Chamber of Manipulation,{2}{U}{U},4.0,"Enchant land Enchanted land has ""{T}  Discard a card: Gain control of target creature until end of turn.""",1.31,ody
44,Sanguine Indulgence,{3}{B},4.0,This spell costs {3} less to cast if you've gained 3 or more life this turn. Return up to two target creature cards from your graveyard to your hand.,0.03,m21
45,Etchings of the Chosen,{1}{W}{B},3.0,As This Card enters the battlefield  choose a creature type. Creatures you control of the chosen type get +1/+1. {1}  Sacrifice a creature of the chosen type: Target creature you control gains indestructible until end of turn.,0.48,mh1
46,Heartwarming Redemption,{2}{R}{W},4.0,Discard all the cards in your hand  then draw that many cards plus one. You gain life equal to the number of cards in your hand.,0.11,war
47,Fracturing Gust,{2}{G/W}{G/W}{G/W},5.0,Destroy all artifacts and enchantments. You gain 2 life for each permanent destroyed this way.,5.54,shm
48,Campfire,{1},1.0,{1}  {T}: You gain 2 life. {2}  {T}  Exile This Card: Put all commanders you own from the command zone and from your graveyard into your hand. Then shuffle your graveyard into your library.,0.18,clb
49,Divergent Growth,{G},1.0,"Until end of turn  lands you control gain ""{T}: Add one mana of any color.""",0.09,scg
50,Minion Reflector,{5},5.0,"Whenever a nontoken creature enters the battlefield under your control  you may pay {2}. If you do  create a token that's a copy of that creature  except it has haste and ""At the beginning of the end step  sacrifice this permanent.""",1.43,ala
51,Cruel Ultimatum,{U}{U}{B}{B}{B}{R}{R},7.0,Target opponent sacrifices a creature  discards three cards  then loses 5 life. You return a creature card from your graveyard to your hand  draw three cards  then gain 5 life.,0.53,e01
52,Dragon Fangs,{1}{G},2.0,Enchant creature Enchanted creature gets +1/+1 and has trample. When a creature with mana value 6 or greater enters the battlefield  you may return This Card from your graveyard to the battlefield attached to that creature.,0.18,scg
53,Square Up,{1}{G/U},2.0,Target creature has base power and toughness 4/4 until end of turn.,0.01,stx
54,Bull Rush,{R},1.0,Target creature gets +2/+0 until end of turn.,0.10,wwk
55,Grip of Amnesia,{1}{U},2.0,Counter target spell unless its controller exiles all cards from their graveyard. Draw a card.,0.20,jud
56,Deny the Divine,{2}{U},3.0,Counter target creature or enchantment spell. If that spell is countered this way  exile it instead of putting it into its owner's graveyard.,0.02,thb
57,Sunbeam Spellbomb,{1},1.0,{W}  Sacrifice This Card: You gain 5 life. {1}  Sacrifice This Card: Draw a card.,0.18,mrd
58,Plot Armor,{2}{G},3.0,Enchant creature Enchanted creature gets +2/+2 and can't be blocked except by creatures with flavor text.,0.10,unf
59,Doubling Season,{4}{G},5.0,If an effect would create one or more tokens under your control  it creates twice that many of those tokens instead. If an effect would put one or more counters on a permanent you control  it puts twice that many of those counters on that permanent instead.,86.42,2xm
60,Gerrard's Hourglass Pendant,{1},1.0,Flash If a player would begin an extra turn  that player skips that turn instead. {4}  {T}  Exile This Card: Return to the battlefield tapped all artifact  creature  enchantment  and land cards in your graveyard that were put there from the battlefield this turn.,4.79,dmc
61,Giant's Amulet,{U},1.0,"When This Card enters the battlefield  you may pay {3}{U}. If you do  create a 4/4 blue Giant Wizard creature token  then attach This Card to it. Equipped creature gets +0/+1 and has ""This creature has hexproof as long as it's untapped."" (It can't be the target of spells or abilities your opponents control.) Equip {2}",0.11,khm
62,Arcbond,{2}{R},3.0,Choose target creature. Whenever that creature is dealt damage this turn  it deals that much damage to each other creature and each player.,0.38,frf
63,Box of Free-Range Goblins,{4}{R}{R},6.0,Roll a six-sided die. Create a number of 1/1 red Goblin creature tokens equal to the result.,0.12,ust
64,Cabal Therapy,{B},1.0,Choose a nonland card name. Target player reveals their hand and discards all cards with that name. Flashback—Sacrifice a creature. (You may cast this card from your graveyard for its flashback cost. Then exile it.),0.76,ema
65,Urborg Volcano,_,0.0,This Card enters the battlefield tapped. {T}: Add {B} or {R}.,0.27,c17
66,Throttle,{4}{B},5.0,Target creature gets -4/-4 until end of turn.,0.04,soi
67,Lich's Caress,{3}{B}{B},5.0,Destroy target creature. You gain 3 life.,0.05,m19
68,Summoning Station,{7},7.0,{T}: Create a 2/2 colorless Pincher creature token. Whenever an artifact is put into a graveyard from the battlefield  you may untap This Card.,3.78,5dn
69,What's Yours Is Now Mine,_,0.0,When you set this scheme in motion  gain control of target creature an opponent controls and untap it.,0.90,oe01
70,Thran Vigil,{1}{B},2.0,Whenever one or more artifact and/or creature cards leave your graveyard during your turn  put a +1/+1 counter on target creature you control.,0.44,bro
71,Pir's Whim,{3}{G},4.0,For each player  choose friend or foe. Each friend searches their library for a land card  puts it onto the battlefield tapped  then shuffles. Each foe sacrifices an artifact or enchantment they control.,1.08,bbd
72,Rhonas's Last Stand,{G}{G},2.0,Create a 5/4 green Snake creature token. Lands you control don't untap during your next untap step.,0.10,hou
73,Sword of Light and Shadow,{3},3.0,Equipped creature gets +2/+2 and has protection from white and from black. Whenever equipped creature deals combat damage to a player  you gain 3 life and you may return up to one target creature card from your graveyard to your hand. Equip {2},18.18,2xm
74,Dictate of Karametra,{3}{G}{G},5.0,Flash Whenever a player taps a land for mana  that player adds one mana of any type that land produced.,0.76,jou
75,Cryptwailing,{3}{B},4.0,{1}  Exile two creature cards from your graveyard: Target player discards a card. Activate only as a sorcery.,0.08,gpt
76,Ionize,{1}{U}{R},3.0,Counter target spell. This Card deals 2 damage to that spell's controller.,0.30,grn
77,Dreadhorde Invasion,{1}{B},2.0,At the beginning of your upkeep  you lose 1 life and amass 1. (Put a +1/+1 counter on an Army you control. If you don't control one  create a 0/0 black Zombie Army creature token first.) Whenever a Zombie token you control with power 6 or greater attacks  it gains lifelink until end of turn.,0.34,mic
78,Goblin Gathering,{2}{R},3.0,Create a number of 1/1 red Goblin creature tokens equal to two plus the number of cards named This Card in your graveyard.,0.06,rna
79,Comeuppance,{3}{W},4.0,Prevent all damage that would be dealt to you and planeswalkers you control this turn by sources you don't control. If damage from a creature source is prevented this way  This Card deals that much damage to that creature. If damage from a noncreature source is prevented this way  This Card deals that much damage to the source's controller.,8.17,c14
80,Sphinx's Insight,{2}{W}{U},4.0,Draw two cards. Addendum — If you cast this spell during your main phase  you gain 2 life.,0.01,rna
81,Eye of the Storm,{5}{U}{U},7.0,Whenever a player casts an instant or sorcery card  exile it. Then that player copies each instant or sorcery card exiled with This Card. For each copy  the player may cast the copy without paying its mana cost.,1.01,rav
82,Lotus Vale,_,0.0,If This Card would enter the battlefield  sacrifice two untapped lands instead. If you do  put This Card onto the battlefield. If you don't  put it into its owner's graveyard. {T}: Add three mana of any one color.,44.53,wth
83,Flooded Shoreline,{U}{U},2.0,{U}{U}  Return two Islands you control to their owner's hand: Return target creature to its owner's hand.,1.79,vis
84,Compulsory Rest,{1}{W},2.0,"Enchant creature Enchanted creature can't attack or block. Enchanted creature has ""{2}  Sacrifice this creature: You gain 2 life.""",0.03,akh
85,Ponder,{U},1.0,Look at the top three cards of your library  then put them back in any order. You may shuffle. Draw a card.,2.53,ncc
86,Vraska's Scorn,{2}{B}{B},4.0,Target opponent loses 4 life. You may search your library and/or graveyard for a card named Vraska  Scheming Gorgon  reveal it  and put it into your hand. If you search your library this way  shuffle.,0.16,rix
87,Justiciar's Portal,{1}{W},2.0,Exile target creature you control  then return that card to the battlefield under its owner's control. It gains first strike until end of turn.,0.06,rna
88,"Tamiyo, Compleated Sage",{2}{G}{G/U/P}{U},5.0,"Compleated ({G/U/P} can be paid with {G}  {U}  or 2 life. If life was paid  this planeswalker enters with two fewer loyalty counters.) +1: Tap up to one target artifact or creature. It doesn't untap during its controller's next untap step. −X: Exile target nonland permanent card with mana value X from your graveyard. Create a token that's a copy of that card. −7: Create Tamiyo's Notebook  a legendary colorless artifact token with ""Spells you cast cost {2} less to cast"" and ""{T}: Draw a card.""",1.84,neo
89,Spidery Grasp,{2}{G},3.0,Untap target creature. It gets +2/+4 and gains reach until end of turn. (It can block creatures with flying.),0.09,gn2
90,New Blood,{2}{B}{B},4.0,As an additional cost to cast this spell  tap an untapped Vampire you control. Gain control of target creature. Change the text of that creature by replacing all instances of one creature type with Vampire.,9.18,c17
91,Drag Under,{2}{U},3.0,Return target creature to its owner's hand. Draw a card.,0.13,w17
92,Saltcrusted Steppe,_,0.0,{T}: Add {C}. {1}  {T}: Put a storage counter on This Card. {1}  Remove X storage counters from This Card: Add X mana in any combination of {G} and/or {W}.,0.11,tsr
93,Tainted Isle,_,0.0,{T}: Add {C}. {T}: Add {U} or {B}. Activate only if you control a Swamp.,0.45,clb
94,Seek Bolas's Counsel,{U}{B}{R},3.0,"Choose one at random — • You get an emblem with ""At the beginning of your upkeep  pay {U}{B}{R}. If you don't  you lose the game."" • Each player discards their hand. • Planeswalk to Pools of Becoming. (Once there  you can roll the planar die only if you're playing Planechase.) • For each opponent  exile cards from the top of their library until you exile a nonland card. You may cast those cards without paying their mana costs. • Destroy all creatures and non-Bolas planeswalkers. • You get an emblem with ""You can cast nonland cards from your sideboard.""",0.89,cmb2
95,Recantation,{3}{U}{U},5.0,At the beginning of your upkeep  you may put a verse counter on This Card. {U}  Sacrifice This Card: Return up to X target permanents to their owners' hands  where X is the number of verse counters on This Card.,0.26,usg
96,Prismatic Circle,{2}{W},3.0,Cumulative upkeep {1} (At the beginning of your upkeep  put an age counter on this permanent  then sacrifice it unless you pay its upkeep cost for each age counter on it.) As This Card enters the battlefield  choose a color. {1}: The next time a source of your choice of the chosen color would deal damage to you this turn  prevent that damage.,0.09,mir
97,Supreme Verdict,{1}{W}{W}{U},4.0,This spell can't be countered. Destroy all creatures.,3.26,2x2
98,Search the Premises,{3}{W},4.0,"Whenever a creature attacks you or a planeswalker you control  investigate. (Create a Clue token. It's an artifact with ""{2}  Sacrifice this artifact: Draw a card."")",0.12,mh2
99,Astarion's Thirst,{3}{B},4.0,Exile target creature. Put X +1/+1 counters on a commander creature you control  where X is the power of the creature exiled this way.,0.18,clb
100,Flood of Recollection,{U}{U},2.0,Return target instant or sorcery card from your graveyard to your hand. Exile This Card.,0.04,cmr
101,Unnerving Assault,{2}{U/R},3.0,Creatures your opponents control get -1/-0 until end of turn if {U} was spent to cast this spell  and creatures you control get +1/+0 until end of turn if {R} was spent to cast this spell. (Do both if {U}{R} was spent.),0.10,eve
102,Titania,_,0.0,You may play an additional land on each of your turns.,399.97,pvan
103,Moss Diamond,{2},2.0,This Card enters the battlefield tapped. {T}: Add {G}.,0.10,clb
104,Armed Response,{2}{W},3.0,This Card deals damage to target attacking creature equal to the number of Equipment you control.,0.08,5dn
105,Ensoul Artifact,{1}{U},2.0,Enchant artifact Enchanted artifact is a creature with base power and toughness 5/5 in addition to its other types.,0.37,m15
106,Skred,{R},1.0,This Card deals damage to target creature equal to the number of snow permanents you control.,1.06,csp
107,Blighted Woodland,_,0.0,{T}: Add {C}. {3}{G}  {T}  Sacrifice This Card: Search your library for up to two basic land cards  put them onto the battlefield tapped  then shuffle.,0.21,clb
108,Mirrorweave,{2}{W/U}{W/U},4.0,Each other creature becomes a copy of target nonlegendary creature until end of turn.,0.74,cm2
109,Fiery Islet,_,0.0,{T}  Pay 1 life: Add {U} or {R}. {1}  {T}  Sacrifice This Card: Draw a card.,9.39,mh1
110,Game Plan,{5}{U},6.0,Assist (Another player can pay up to {5} of this spell's cost.) Each player shuffles their hand and graveyard into their library  then draws seven cards. Exile This Card.,1.58,bbd
111,Glacial Fortress,_,0.0,This Card enters the battlefield tapped unless you control a Plains or an Island. {T}: Add {W} or {U}.,3.83,xln
112,Ivory Mask,{2}{W}{W},4.0,You have shroud. (You can't be the target of spells or abilities.),0.71,9ed
113,Chain of Plasma,{1}{R},2.0,This Card deals 3 damage to any target. Then that player or that permanent's controller may discard a card. If the player does  they may copy this spell and may choose a new target for that copy.,0.19,ons
114,Coils of the Medusa,{1}{B},2.0,Enchant creature Enchanted creature gets +1/-1. Sacrifice This Card: Destroy all non-Wall creatures blocking enchanted creature.,0.13,wth
115,World at War,{3}{R}{R},5.0,After the first postcombat main phase this turn  there's an additional combat phase followed by an additional main phase. At the beginning of that combat  untap all creatures that attacked this turn. Rebound (If you cast this spell from your hand  exile it as it resolves. At the beginning of your next upkeep  you may cast this card from exile without paying its mana cost.),10.42,roe
116,Strength of Lunacy,{1}{B},2.0,Enchant creature Enchanted creature gets +2/+1 and has protection from white. Madness {B} (If you discard this card  discard it into exile. When you do  cast it for its madness cost or put it into your graveyard.),0.54,tor
117,Funeral Pyre,{W},1.0,Exile target card from a graveyard. Its owner creates a 1/1 white Spirit creature token with flying.,0.10,jud
118,Stop That,{B},1.0,"Target player discards a card. Gotcha — If an opponent audibly flicks the cards in their hand  you may say ""Gotcha!"" When you do  return This Card from your graveyard to your hand.",0.17,unh
119,Strategic Planning,{1}{U},2.0,Look at the top three cards of your library. Put one of them into your hand and the rest into your graveyard.,0.01,khm
120,Koth of the Hammer Emblem,_,0.0,Mountains you control have '{T}: This land deals 1 damage to any target.',1.95,tddi
121,Aggressive Crag,_,0.0,At the beginning of your combat step  tap This Card. {T}: Add {R} or {W}.,0.90,cmb2
122,Remembrance,{3}{W},4.0,Whenever a nontoken creature you control dies  you may search your library for a card with the same name as that creature  reveal it  put it into your hand  then shuffle.,5.23,usg
123,Ghostly Touch,{1}{U},2.0,"Enchant creature Enchanted creature has ""Whenever this creature attacks  you may tap or untap target permanent.""",0.08,avr
124,Glimpse of Freedom,{1}{U},2.0,Draw a card. Escape—{2}{U}  Exile five other cards from your graveyard. (You may cast this card from your graveyard for its escape cost.),0.03,thb
125,Mizzium Skin,{U},1.0,"Target creature you control gets +0/+1 and gains hexproof until end of turn. Overload {1}{U} (You may cast this spell for its overload cost. If you do  change its text by replacing all instances of ""target"" with ""each."")",0.17,rtr
126,Benefaction of Rhonas,{2}{G},3.0,Reveal the top five cards of your library. You may put a creature card and/or an enchantment card from among them into your hand. Put the rest into your graveyard.,0.04,akh
127,Scorching Missile,{3}{R},4.0,This Card deals 4 damage to target player or planeswalker. Flashback {9}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.),0.12,ody
128,Obelisk of Naya,{3},3.0,{T}: Add {R}  {G}  or {W}.,0.17,ala
129,Spine of Ish Sah,{7},7.0,When This Card enters the battlefield  destroy target permanent. When This Card is put into a graveyard from the battlefield  return This Card to its owner's hand.,0.79,cm2
130,Ancient Den,_,0.0,{T}: Add {W}.,0.88,c21
131,Research the Deep,{1}{U},2.0,Draw a card. Clash with an opponent. If you win  return This Card to its owner's hand. (Each clashing player reveals the top card of their library  then puts that card on the top or bottom. A player wins if their card had a higher mana value.),0.19,mor
132,Zephyr Boots,{1},1.0,Equipped creature has flying. Whenever equipped creature deals combat damage to a player  draw a card  then discard a card. Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.),0.21,stx
133,Thunderclap,{2}{R},3.0,You may sacrifice a Mountain rather than pay this spell's mana cost. This Card deals 3 damage to target creature.,0.23,mmq
134,Search for Survivors,{2}{R},3.0,Reorder your graveyard at random. An opponent chooses a card at random in your graveyard. If it's a creature card  put it onto the battlefield. Otherwise  exile it.,0.27,pcy
135,Raze,{R},1.0,As an additional cost to cast this spell  sacrifice a land. Destroy target land.,0.25,usg
136,Gideon's Intervention,{2}{W}{W},4.0,As This Card enters the battlefield  choose a card name. Your opponents can't cast spells with the chosen name. Prevent all damage that would be dealt to you and permanents you control by sources with the chosen name.,0.17,akh
137,Boggart Birth Rite,{B},1.0,Return target Goblin card from your graveyard to your hand.,0.15,lrw
138,Storage Matrix,{3},3.0,As long as This Card is untapped  each player chooses artifact  creature  or land during their untap step. That player can untap only permanents of the chosen type this step.,3.63,9ed
139,Commanding Presence,{3}{W},4.0,"Enchant creature Enchanted creature gets +2/+2 and has first strike and ""Whenever this creature deals combat damage to a player  create a 1/1 white Human Soldier creature token.""",0.07,thb
140,Sangrite Backlash,{B/G}{R},2.0,Enchant creature Enchanted creature gets +3/-3.,0.04,arb
141,Massive Raid,{1}{R}{R},3.0,This Card deals damage to any target equal to the number of creatures you control.,0.22,gtc
142,Rending Volley,{R},1.0,This spell can't be countered. This Card deals 4 damage to target white or blue creature.,5.57,dtk
143,Prismatic Vista,_,0.0,{T}  Pay 1 life  Sacrifice This Card: Search your library for a basic land card  put it onto the battlefield  then shuffle.,24.34,mh1
144,Kazandu Refuge,_,0.0,This Card enters the battlefield tapped. When This Card enters the battlefield  you gain 1 life. {T}: Add {R} or {G}.,0.16,c19
145,Locked in the Cemetery,{1}{U},2.0,Enchant creature When This Card enters the battlefield  if there are five or more cards in your graveyard  tap enchanted creature. Enchanted creature doesn't untap during its controller's untap step.,0.01,mid
146,Faithless Salvaging,{1}{R},2.0,Discard a card  then draw a card. Rebound (If you cast this spell from your hand  exile it as it resolves. At the beginning of your next upkeep  you may cast this card from exile without paying its mana cost.),0.05,mh2
147,Oketra's Monument,{3},3.0,White creature spells you cast cost {1} less to cast. Whenever you cast a creature spell  create a 1/1 white Warrior creature token with vigilance.,1.44,dmc
148,Moonring Mirror,{5},5.0,Whenever you draw a card  exile the top card of your library face down. At the beginning of your upkeep  you may exile all cards from your hand face down. If you do  put all other cards you own exiled with This Card into your hand.,0.31,chk
149,Combo Attack,{2}{G},3.0,Two target creatures your team controls each deal damage equal to their power to target creature.,0.04,bbd
150,Diabolic Intent,{1}{B},2.0,As an additional cost to cast this spell  sacrifice a creature. Search your library for a card  put that card into your hand  then shuffle.,16.20,bro
151,Reaver Ambush,{2}{B},3.0,Exile target creature with power 3 or less.,0.04,rix
152,Black Sun's Zenith,{X}{B}{B},2.0,Put X -1/-1 counters on each creature. Shuffle This Card into its owner's library.,5.21,c14
153,Inundate,{3}{U}{U}{U},6.0,Return all nonblue creatures to their owners' hands.,6.28,eve
154,Polymorph,{3}{U},4.0,Destroy target creature. It can't be regenerated. Its controller reveals cards from the top of their library until they reveal a creature card. The player puts that card onto the battlefield  then shuffles all other cards revealed this way into their library.,1.60,m10
155,Disappear,{2}{U}{U},4.0,Enchant creature {U}: Return enchanted creature and This Card to their owners' hands.,0.14,uds
156,Unwilling Recruit,{X}{R}{R}{R},3.0,Gain control of target creature until end of turn. Untap that creature. It gets +X/+0 and gains haste until end of turn.,0.18,eve
157,Baffling End,{1}{W},2.0,When This Card enters the battlefield  exile target creature an opponent controls with mana value 3 or less. When This Card leaves the battlefield  target opponent creates a 3/3 green Dinosaur creature token with trample.,0.08,rix
158,Bonds of Quicksilver,{3}{U},4.0,Flash (You may cast this spell any time you could cast an instant.) Enchant creature Enchanted creature doesn't untap during its controller's untap step.,0.06,cn2
159,Freed from the Real,{2}{U},3.0,Enchant creature {U}: Tap enchanted creature. {U}: Untap enchanted creature.,3.02,a25
160,Everythingamajig,{5},5.0,{2}  {T}: Draw a card. Activate only if you have no cards in hand. {8}  {T}: You gain 10 life. {4}  {T}  Sacrifice This Card: You may put a silver-bordered or acorn permanent card from your hand onto the battlefield.,2.07,ust
161,Hero's Downfall,{1}{B}{B},3.0,Destroy target creature or planeswalker.,0.19,dmc
162,Statute of Denial,{2}{U}{U},4.0,Counter target spell. If you control a blue creature  draw a card  then discard a card.,0.08,m15
163,Tourach's Gate,{1}{B}{B},3.0,Enchant land you control Sacrifice a Thrull: Put three time counters on This Card. At the beginning of your upkeep  remove a time counter from This Card. If there are no time counters on This Card  sacrifice it. Tap enchanted land: Attacking creatures you control get +2/-1 until end of turn. Activate only if enchanted land is untapped.,1.19,fem
164,Rune of Sustenance,{1}{W},2.0,"Enchant permanent When This Card enters the battlefield  draw a card. As long as enchanted permanent is a creature  it has lifelink. As long as enchanted permanent is an Equipment  it has ""Equipped creature has lifelink.""",0.25,khm
165,Mesmeric Orb,{2},2.0,Whenever a permanent becomes untapped  that permanent's controller mills a card.,11.97,2xm
166,Autumn's Veil,{G},1.0,Spells you control can't be countered by blue or black spells this turn  and creatures you control can't be the targets of blue or black spells this turn.,0.47,m12
167,Meteor Storm,{R}{G},2.0,{2}{R}{G}  Discard two cards at random: This Card deals 4 damage to any target.,0.22,inv
168,Rage Reflection,{4}{R}{R},6.0,Creatures you control have double strike.,0.68,2xm
169,Consuming Sinkhole,{3}{R},4.0,Devoid (This card has no color.) Choose one — • Exile target land creature. • This Card deals 4 damage to target player or planeswalker.,0.02,ogw
170,"Miren, the Moaning Well",_,0.0,{T}: Add {C}. {3}  {T}  Sacrifice a creature: You gain life equal to the sacrificed creature's toughness.,22.16,sok
171,Rootborn Defenses,{2}{W},3.0,Populate. Creatures you control gain indestructible until end of turn. (To populate  create a token that's a copy of a creature token you control.),0.31,c19
